county,oct_rate,state,year
Autauga County,6.6,Alabama,2012
Baldwin County,7.3,Alabama,2012
Barbour County,11.2,Alabama,2012
Bibb County,8.3,Alabama,2012
Blount County,6.7,Alabama,2012
Bullock County,10.7,Alabama,2012
Butler County,10.7,Alabama,2012
Calhoun County,8.5,Alabama,2012
Chambers County,8.7,Alabama,2012
Cherokee County,7.5,Alabama,2012
Chilton County,6.7,Alabama,2012
Choctaw County,9.4,Alabama,2012
Clarke County,13.7,Alabama,2012
Clay County,8.6,Alabama,2012
Cleburne County,7.8,Alabama,2012
Coffee County,6.8,Alabama,2012
Colbert County,8.1,Alabama,2012
Conecuh County,11.4,Alabama,2012
Coosa County,8.4,Alabama,2012
Covington County,8,Alabama,2012
Crenshaw County,8,Alabama,2012
Cullman County,7.3,Alabama,2012
Dale County,7.1,Alabama,2012
Dallas County,12.2,Alabama,2012
Dekalb County,8.3,Alabama,2012
Elmore County,6.7,Alabama,2012
Escambia County,8.8,Alabama,2012
Etowah County,8.5,Alabama,2012
Fayette County,8.1,Alabama,2012
Franklin County,8,Alabama,2012
Geneva County,7.2,Alabama,2012
Greene County,12.6,Alabama,2012
Hale County,10.6,Alabama,2012
Henry County,7.9,Alabama,2012
Houston County,7.3,Alabama,2012
Jackson County,7.9,Alabama,2012
Jefferson County,7.1,Alabama,2012
Lamar County,7.1,Alabama,2012
Lauderdale County,7.1,Alabama,2012
Lawrence County,8.3,Alabama,2012
Lee County,6.4,Alabama,2012
Limestone County,6.5,Alabama,2012
Lowndes County,14.4,Alabama,2012
Macon County,9.9,Alabama,2012
Madison County,6.5,Alabama,2012
Marengo County,9.5,Alabama,2012
Marion County,8.2,Alabama,2012
Marshall County,7.4,Alabama,2012
Mobile County,8.7,Alabama,2012
Monroe County,11.6,Alabama,2012
Montgomery County,7.8,Alabama,2012
Morgan County,7.3,Alabama,2012
Perry County,12.6,Alabama,2012
Pickens County,9.2,Alabama,2012
Pike County,7.8,Alabama,2012
Randolph County,8.6,Alabama,2012
Russell County,8.2,Alabama,2012
Saint Clair County,6.4,Alabama,2012
Shelby County,4.9,Alabama,2012
Sumter County,9.5,Alabama,2012
Talladega County,8.8,Alabama,2012
Tallapoosa County,8.1,Alabama,2012
Tuscaloosa County,6.6,Alabama,2012
Walker County,8.7,Alabama,2012
Washington County,11.1,Alabama,2012
Wilcox County,18.9,Alabama,2012
Winston County,9.4,Alabama,2012
Apache County,18.4,Arizona,2012
Cochise County,8.8,Arizona,2012
Coconino County,7.8,Arizona,2012
Gila County,9.7,Arizona,2012
Graham County,8,Arizona,2012
Greenlee County,7.6,Arizona,2012
La Paz County,7.9,Arizona,2012
Maricopa County,6.9,Arizona,2012
Mohave County,10.6,Arizona,2012
Navajo County,13.3,Arizona,2012
Pima County,7,Arizona,2012
Pinal County,8.1,Arizona,2012
Santa Cruz County,17.1,Arizona,2012
Yavapai County,8,Arizona,2012
Yuma County,24.9,Arizona,2012
Arkansas County,8.1,Arkansas,2012
Ashley County,10.9,Arkansas,2012
Baxter County,7.6,Arkansas,2012
Benton County,5.5,Arkansas,2012
Boone County,6.8,Arkansas,2012
Bradley County,9.7,Arkansas,2012
Calhoun County,7.8,Arkansas,2012
Carroll County,5.1,Arkansas,2012
Chicot County,10.1,Arkansas,2012
Clark County,8.8,Arkansas,2012
Clay County,9.5,Arkansas,2012
Cleburne County,8.2,Arkansas,2012
Cleveland County,6.8,Arkansas,2012
Columbia County,8.1,Arkansas,2012
Conway County,8.8,Arkansas,2012
Craighead County,6.6,Arkansas,2012
Crawford County,7.7,Arkansas,2012
Crittenden County,8.4,Arkansas,2012
Cross County,7.6,Arkansas,2012
Dallas County,10.5,Arkansas,2012
Desha County,8.7,Arkansas,2012
Drew County,9.2,Arkansas,2012
Faulkner County,6.2,Arkansas,2012
Franklin County,6.7,Arkansas,2012
Fulton County,6.8,Arkansas,2012
Garland County,7.5,Arkansas,2012
Grant County,6.2,Arkansas,2012
Greene County,7.8,Arkansas,2012
Hempstead County,6.9,Arkansas,2012
Hot Spring County,6.8,Arkansas,2012
Howard County,6.5,Arkansas,2012
Independence County,9,Arkansas,2012
Izard County,7.7,Arkansas,2012
Jackson County,9.9,Arkansas,2012
Jefferson County,9.4,Arkansas,2012
Johnson County,6.5,Arkansas,2012
Lafayette County,9.2,Arkansas,2012
Lawrence County,7.9,Arkansas,2012
Lee County,8.8,Arkansas,2012
Lincoln County,8,Arkansas,2012
Little River County,6.7,Arkansas,2012
Logan County,7.6,Arkansas,2012
Lonoke County,5.9,Arkansas,2012
Madison County,5.2,Arkansas,2012
Marion County,7.5,Arkansas,2012
Miller County,5.7,Arkansas,2012
Mississippi County,9.8,Arkansas,2012
Monroe County,8.5,Arkansas,2012
Montgomery County,7.9,Arkansas,2012
Nevada County,7.8,Arkansas,2012
Newton County,7,Arkansas,2012
Ouachita County,9.6,Arkansas,2012
Perry County,8.5,Arkansas,2012
Phillips County,10.4,Arkansas,2012
Pike County,8.2,Arkansas,2012
Poinsett County,8,Arkansas,2012
Polk County,6.7,Arkansas,2012
Pope County,6.4,Arkansas,2012
Prairie County,7,Arkansas,2012
Pulaski County,6.4,Arkansas,2012
Randolph County,9.5,Arkansas,2012
Saint Francis County,10.4,Arkansas,2012
Saline County,5.6,Arkansas,2012
Scott County,6.2,Arkansas,2012
Searcy County,7.5,Arkansas,2012
Sebastian County,7.8,Arkansas,2012
Sevier County,8,Arkansas,2012
Sharp County,9.3,Arkansas,2012
Stone County,7.5,Arkansas,2012
Union County,8.4,Arkansas,2012
Van Buren County,9.4,Arkansas,2012
Washington County,5.1,Arkansas,2012
White County,7.3,Arkansas,2012
Woodruff County,9.3,Arkansas,2012
Yell County,6,Arkansas,2012
Alameda County,8.2,California,2012
Alpine County,11.5,California,2012
Amador County,11,California,2012
Butte County,10.7,California,2012
Calaveras County,11.2,California,2012
Colusa County,13.8,California,2012
Contra Costa County,8.4,California,2012
Del Norte County,12.6,California,2012
El Dorado County,9.3,California,2012
Fresno County,13.8,California,2012
Glenn County,11.2,California,2012
Humboldt County,8.6,California,2012
Imperial County,28.2,California,2012
Inyo County,8.4,California,2012
Kern County,11.5,California,2012
Kings County,13.6,California,2012
Lake County,11.7,California,2012
Lassen County,9.3,California,2012
Los Angeles County,10.4,California,2012
Madera County,12.5,California,2012
Marin County,5.9,California,2012
Mariposa County,10.2,California,2012
Mendocino County,8.7,California,2012
