county,nov_rate,state,year,2008_pop_est,total area sqmi,water area,land area
Clayton County,5.9,Iowa,2008,18209,792.81,14,778.81
Clinton County,4.4,Iowa,2008,49303,710.19,15.21,694.98
Crawford County,3.3,Iowa,2008,16881,714.99,0.63,714.36
Dallas County,3.2,Iowa,2008,62144,591.73,5.26,586.47
Davis County,5.9,Iowa,2008,8675,504.89,1.65,503.24
Decatur County,3.8,Iowa,2008,8457,533.32,1.52,531.8
Delaware County,4.2,Iowa,2008,17840,579.05,1.19,577.85
Des Moines County,6.4,Iowa,2008,40235,429.8,13.65,416.15
Dickinson County,5,Iowa,2008,16690,403.69,22.63,381.06
Dubuque County,4.3,Iowa,2008,92519,616.56,8.41,608.16
Emmet County,4.4,Iowa,2008,10448,402.38,6.63,395.74
Fayette County,5.2,Iowa,2008,20910,731.45,0.52,730.92
Floyd County,6.9,Iowa,2008,16331,501.31,0.74,500.56
Franklin County,4.4,Iowa,2008,10690,583.01,0.57,582.44
Fremont County,4.8,Iowa,2008,7489,516.76,5.68,511.08
Greene County,4.1,Iowa,2008,9415,571.13,2.72,568.41
Grundy County,3.6,Iowa,2008,12359,502.55,0.03,502.51
Guthrie County,4.5,Iowa,2008,11038,593.06,2.46,590.6
Hamilton County,3.9,Iowa,2008,15863,577.44,0.76,576.68
Hancock County,8.9,Iowa,2008,11525,573.14,2.03,571.11
Hardin County,4.3,Iowa,2008,17690,569.93,0.68,569.26
Harrison County,5.3,Iowa,2008,14946,700.93,4.2,696.72
Henry County,7,Iowa,2008,20307,436.68,2.24,434.44
Howard County,4.8,Iowa,2008,9625,473.76,0.36,473.4
Humboldt County,3.9,Iowa,2008,9911,435.73,1.31,434.41
Ida County,5.2,Iowa,2008,7215,432.23,0.52,431.71
Iowa County,4.4,Iowa,2008,16337,587.35,0.9,586.45
Jackson County,5.4,Iowa,2008,19919,649.75,13.66,636.09
Jasper County,7.5,Iowa,2008,37103,732.93,2.94,729.99
Jefferson County,5.2,Iowa,2008,16607,436.72,1.38,435.34
Johnson County,3,Iowa,2008,127113,623.35,8.87,614.48
Jones County,4.3,Iowa,2008,20848,576.7,1.39,575.31
Keokuk County,5,Iowa,2008,10620,579.94,0.75,579.19
Kossuth County,4.2,Iowa,2008,15685,974.39,1.38,973.01
Lee County,7,Iowa,2008,35819,538.77,21.37,517.39
Linn County,4.1,Iowa,2008,208558,724.55,7.1,717.44
Louisa County,5.4,Iowa,2008,11830,417.64,15.73,401.92
Lucas County,4.2,Iowa,2008,9137,434.17,3.63,430.55
Lyon County,2.5,Iowa,2008,11545,587.63,0.13,587.5
Madison County,4.5,Iowa,2008,15517,562.3,1.16,561.14
Mahaska County,4.8,Iowa,2008,22483,573.4,2.53,570.87
Marion County,4.1,Iowa,2008,33515,570.53,16.32,554.21
Marshall County,6.3,Iowa,2008,40151,573.02,0.7,572.32
Mills County,4.3,Iowa,2008,15214,439.67,3.13,436.53
Mitchell County,4.5,Iowa,2008,10815,469.4,0.47,468.92
Monona County,5.1,Iowa,2008,9350,698.85,5.73,693.12
Monroe County,4.3,Iowa,2008,7904,434.11,0.7,433.41
Montgomery County,6.1,Iowa,2008,10823,424.81,0.93,423.88
Muscatine County,5.7,Iowa,2008,42515,449.07,10.4,438.67
O'Brien County,3.3,Iowa,2008,14332,573.25,0.17,573.08
Osceola County,3.8,Iowa,2008,6617,399.48,0.71,398.77
Page County,5.1,Iowa,2008,16083,535.35,0.52,534.82
Palo Alto County,4.6,Iowa,2008,9486,569.4,5.57,563.83
Plymouth County,3.6,Iowa,2008,24898,863.96,0.39,863.56
Pocahontas County,2.8,Iowa,2008,7510,579.13,1.42,577.7
Polk County,4.2,Iowa,2008,419495,591.9,22.55,569.35
Pottawattamie County,4.6,Iowa,2008,91781,959.94,5.68,954.26
Poweshiek County,4.4,Iowa,2008,19025,586.17,1.14,585.03
Ringgold County,4,Iowa,2008,5164,538.92,1.26,537.67
Sac County,3.5,Iowa,2008,10475,578.38,2.56,575.82
Scott County,4.7,Iowa,2008,161824,468.17,10.24,457.93
Shelby County,2.8,Iowa,2008,12338,591.37,0.54,590.83
Sioux County,2.4,Iowa,2008,33364,768.58,0.7,767.88
Story County,3,Iowa,2008,87831,573.7,0.84,572.86
Tama County,5.7,Iowa,2008,17986,722.37,1.07,721.3
Taylor County,4,Iowa,2008,6348,534.83,0.87,533.95
Union County,4.5,Iowa,2008,12447,425.95,1.57,424.39
Van Buren County,6.4,Iowa,2008,7699,490.55,5.73,484.82
Wapello County,5.6,Iowa,2008,35381,435.98,4.17,431.81
Warren County,4.1,Iowa,2008,45450,573.21,1.56,571.64
Washington County,4,Iowa,2008,21686,570.77,2.06,568.71
Wayne County,4.1,Iowa,2008,6373,527.08,1.48,525.6
Webster County,4.3,Iowa,2008,38273,718.05,2.82,715.23
Winnebago County,8.5,Iowa,2008,10927,401.57,1.1,400.47
Winneshiek County,4.2,Iowa,2008,20980,689.88,0.27,689.61
Woodbury County,4.2,Iowa,2008,100910,877.39,4.79,872.59
Worth County,6,Iowa,2008,7632,401.71,1.71,400
Wright County,4,Iowa,2008,13375,582.54,1.82,580.72
Allen County,4.9,Kansas,2008,13422,505.18,2.18,503.01
Anderson County,5.3,Kansas,2008,8158,584.29,1.38,582.92
Atchison County,4.7,Kansas,2008,16820,435.04,2.7,432.34
Barber County,3.3,Kansas,2008,4844,1136.21,2.1,1134.11
Barton County,3.2,Kansas,2008,27314,900.46,6.46,894
Bourbon County,5,Kansas,2008,15127,638.82,1.73,637.09
Brown County,4.3,Kansas,2008,9988,572.2,1.52,570.67
Butler County,4.6,Kansas,2008,64941,1446.42,18.57,1427.85
Chase County,4.9,Kansas,2008,2810,778.01,2.12,775.89
Chautauqua County,4.8,Kansas,2008,3735,644.83,3.14,641.69
Cherokee County,5.8,Kansas,2008,21720,590.96,3.85,587.12
Cheyenne County,3.7,Kansas,2008,2778,1020.84,0.95,1019.88
Clark County,3.4,Kansas,2008,2225,977.2,2.52,974.68
Clay County,3.2,Kansas,2008,8618,655.44,11.6,643.84
Cloud County,3.5,Kansas,2008,9541,718.47,2.84,715.63
Coffey County,5.3,Kansas,2008,8563,654.57,24.82,629.75
Comanche County,3.2,Kansas,2008,1902,789.7,1.39,788.31
Cowley County,4.8,Kansas,2008,36284,1132.6,6.37,1126.24
Crawford County,5.4,Kansas,2008,38997,595.05,2.14,592.91
Decatur County,3.4,Kansas,2008,2992,894.18,0.63,893.55
Dickinson County,3.7,Kansas,2008,19862,852.12,4.2,847.92
Doniphan County,7.2,Kansas,2008,8003,397.07,4.89,392.18
Douglas County,4.1,Kansas,2008,109010,474.47,17.6,456.87
Edwards County,2.7,Kansas,2008,3058,622.1,0.08,622.02
Elk County,5.7,Kansas,2008,2954,650.36,3.07,647.29
Ellis County,2.9,Kansas,2008,28010,900.47,0.5,899.97
Ellsworth County,3.3,Kansas,2008,6471,723.44,7.54,715.91
Finney County,3.4,Kansas,2008,35461,1302.62,0.84,1301.77
Ford County,2.9,Kansas,2008,32187,1099.29,0.79,1098.5
Franklin County,5.8,Kansas,2008,25851,576.65,2.8,573.85
Geary County,4.6,Kansas,2008,30276,404.39,19.7,384.69
Gove County,2.9,Kansas,2008,2646,1071.47,0.09,1071.38
Graham County,3.3,Kansas,2008,2669,898.67,0.38,898.29
Grant County,3,Kansas,2008,7674,575.04,0.18,574.86
Gray County,2.5,Kansas,2008,5821,869.34,0.44,868.9
Greeley County,4.1,Kansas,2008,1247,778.01,0,778.01
Greenwood County,5.6,Kansas,2008,6817,1152.59,12.92,1139.67
Hamilton County,3.3,Kansas,2008,2638,997.62,1.13,996.49
Harper County,3.5,Kansas,2008,6063,802.95,1.51,801.44
Harvey County,3.8,Kansas,2008,33994,540.5,1.17,539.33
Haskell County,2.6,Kansas,2008,4153,577.73,0.36,577.37
Hodgeman County,3.1,Kansas,2008,1949,860.24,0.32,859.92
Jackson County,6,Kansas,2008,13235,657.86,2.27,655.59
Jefferson County,5.4,Kansas,2008,19072,556.94,20.83,536.11
Jewell County,3.2,Kansas,2008,3137,914.47,5.29,909.18
Johnson County,4.9,Kansas,2008,532175,480.15,3.37,476.78
Kearny County,3.2,Kansas,2008,3909,871.5,0.44,871.06
Kingman County,3.2,Kansas,2008,7892,866.7,3.35,863.35
Kiowa County,3.1,Kansas,2008,2418,722.62,0.23,722.39
Labette County,6.1,Kansas,2008,21786,653.3,4.48,648.82
Lane County,4.2,Kansas,2008,1756,717.43,0.21,717.22
Leavenworth County,6.1,Kansas,2008,74560,468.33,5.06,463.27
Lincoln County,4,Kansas,2008,3333,719.94,1.07,718.87
Linn County,6.4,Kansas,2008,9731,606.29,7.62,598.67
Logan County,2.8,Kansas,2008,2779,1073.09,0.11,1072.99
Lyon County,5.4,Kansas,2008,35591,855.14,4.27,850.87
Marion County,4,Kansas,2008,12639,953.54,10.43,943.11
Marshall County,4.6,Kansas,2008,10174,904.36,1.83,902.53
McPherson County,3.6,Kansas,2008,29095,901.24,1.52,899.71
Meade County,2.7,Kansas,2008,4497,979.66,1.24,978.42
Miami County,5.5,Kansas,2008,32131,590.15,13.43,576.72
Mitchell County,3.1,Kansas,2008,6370,718.62,18.8,699.82
Montgomery County,6.1,Kansas,2008,35538,651.4,6.19,645.2
Morris County,4.7,Kansas,2008,5999,702.84,5.46,697.38
Morton County,2.8,Kansas,2008,3227,729.94,0.02,729.92
Nemaha County,3.3,Kansas,2008,10259,719.4,1.41,717.99
Neosho County,5.8,Kansas,2008,16587,578.02,6.27,571.75
Ness County,3.1,Kansas,2008,3127,1075,0.26,1074.75
Norton County,3.3,Kansas,2008,5702,881.39,3.55,877.84
Osage County,6,Kansas,2008,16439,719.23,15.72,703.5
Osborne County,3.3,Kansas,2008,3867,894.28,1.89,892.39
Ottawa County,3.4,Kansas,2008,6137,721.9,0.79,721.11
Pawnee County,3.1,Kansas,2008,6859,754.56,0.38,754.17
Phillips County,7.5,Kansas,2008,5586,894.81,8.58,886.23
Pottawatomie County,3.3,Kansas,2008,20884,862.07,17.83,844.24
Pratt County,3.4,Kansas,2008,9684,735.76,0.76,734.99
Rawlins County,3.3,Kansas,2008,2592,1069.72,0.11,1069.62
Reno County,4.1,Kansas,2008,63974,1271.25,16.84,1254.42
Republic County,3.2,Kansas,2008,5067,720.31,3.93,716.38
Rice County,3.9,Kansas,2008,10175,728.3,1.72,726.58
Riley County,3.3,Kansas,2008,69444,622.11,12.55,609.55
Rooks County,4.8,Kansas,2008,5254,895.36,7.02,888.34
Rush County,4.3,Kansas,2008,3310,718.42,0.21,718.21
Russell County,3.9,Kansas,2008,6869,898.98,14.3,884.68
Saline County,3.8,Kansas,2008,54811,721.28,1.67,719.61
Scott County,2.6,Kansas,2008,4729,717.64,0.12,717.52
Sedgwick County,4.7,Kansas,2008,486077,1009.41,10.03,999.38
Seward County,3,Kansas,2008,22522,640.51,0.99,639.52
Shawnee County,5.1,Kansas,2008,175449,556.32,6.5,549.82
Sheridan County,2.4,Kansas,2008,2605,896.61,0.25,896.36
Sherman County,2.8,Kansas,2008,6017,1056.01,0.21,1055.8
Smith County,4.8,Kansas,2008,3909,896.53,1.1,895.43
Stafford County,3.8,Kansas,2008,4404,794.72,2.67,792.05
Stanton County,3.3,Kansas,2008,2169,680.06,0.06,680
Stevens County,3.3,Kansas,2008,5440,727.71,0.18,727.53
Sumner County,4.6,Kansas,2008,24238,1184.78,2.98,1181.81
Thomas County,2.9,Kansas,2008,7685,1074.9,0.11,1074.78
Trego County,2.9,Kansas,2008,2943,899.02,10.73,888.29
Wabaunsee County,4.6,Kansas,2008,7077,799.8,2.41,797.38
Wallace County,6.7,Kansas,2008,1447,914.05,0.05,913.99
Washington County,4,Kansas,2008,5848,898.84,0.38,898.46
Wichita County,2.9,Kansas,2008,2222,718.54,0.02,718.52
Wilson County,7.6,Kansas,2008,9592,574.97,1.17,573.81
Woodson County,5.9,Kansas,2008,3347,505.45,4.85,500.61
Wyandotte County,8.7,Kansas,2008,155092,155.69,4.3,151.39
Adair County,7.2,Kentucky,2008,18541,412.23,5.39,406.84
Allen County,8.8,Kentucky,2008,19838,352.04,5.92,346.12
Anderson County,7.4,Kentucky,2008,21088,204.28,1.61,202.67
Ballard County,6.9,Kentucky,2008,8265,273.6,22.44,251.16
Barren County,6.9,Kentucky,2008,41797,499.93,8.96,490.97
Bath County,9.7,Kentucky,2008,11647,283.94,4.48,279.46
Bell County,8.8,Kentucky,2008,28836,361.35,0.58,360.77
Boone County,6,Kentucky,2008,115262,256.96,10.7,246.26
Bourbon County,6.2,Kentucky,2008,20046,291.66,0.23,291.43
Boyd County,5.8,Kentucky,2008,49244,161.82,1.65,160.17
Boyle County,7.2,Kentucky,2008,28288,182.99,1.09,181.9
Bracken County,8.1,Kentucky,2008,8471,208.89,5.67,203.22
Breathitt County,6.9,Kentucky,2008,14249,495.29,0.09,495.19
Breckinridge County,7.5,Kentucky,2008,20018,585.53,13.12,572.41
Bullitt County,7,Kentucky,2008,72738,300.2,1.12,299.08
Butler County,9.3,Kentucky,2008,12745,431.52,3.44,428.08
Caldwell County,6.8,Kentucky,2008,12985,348.18,1.2,346.98
Calloway County,6.1,Kentucky,2008,36686,410.79,24.53,386.25
Campbell County,6.5,Kentucky,2008,88548,159.43,7.87,151.55
Carlisle County,6.6,Kentucky,2008,5093,199.02,6.54,192.49
Carroll County,8.9,Kentucky,2008,10744,137.27,7.18,130.09
Carter County,8.2,Kentucky,2008,27752,412.15,1.55,410.6
Casey County,6.9,Kentucky,2008,15970,445.73,0.12,445.61
Christian County,8.5,Kentucky,2008,72034,724.01,2.69,721.32
Clark County,6.7,Kentucky,2008,35256,255.16,0.85,254.31
Clay County,10.9,Kentucky,2008,22289,471.08,0.07,471.01
Clinton County,7.5,Kentucky,2008,10253,205.54,8.09,197.46
Crittenden County,7.6,Kentucky,2008,9408,370.95,8.81,362.14
Cumberland County,8.7,Kentucky,2008,6917,310.85,5.02,305.82
Daviess County,6.3,Kentucky,2008,95411,476.27,13.88,462.39
Edmonson County,7.5,Kentucky,2008,12127,308.01,5.39,302.62
Elliott County,8.2,Kentucky,2008,7556,235.2,1.24,233.96
Estill County,8.2,Kentucky,2008,14752,255.7,1.76,253.93
Fayette County,5.1,Kentucky,2008,287683,285.52,1,284.52
Fleming County,7.5,Kentucky,2008,14345,351.47,0.62,350.84
Floyd County,6.5,Kentucky,2008,39964,395.46,1.16,394.29
Franklin County,6.3,Kentucky,2008,49301,212.11,1.65,210.46
Fulton County,8.5,Kentucky,2008,6945,230.55,21.6,208.95
Gallatin County,7.8,Kentucky,2008,8420,104.67,5.87,98.81
Garrard County,7.2,Kentucky,2008,16906,233.88,2.67,231.21
Grant County,7.9,Kentucky,2008,24856,260.79,0.86,259.93
Graves County,7.4,Kentucky,2008,36862,556.46,0.87,555.59
Grayson County,10.2,Kentucky,2008,25558,510.85,7.17,503.68
Green County,8.3,Kentucky,2008,11432,288.78,0.12,288.66
Greenup County,6,Kentucky,2008,37106,354.51,8.41,346.11
Hancock County,5.9,Kentucky,2008,8567,198.92,10.12,188.8
Hardin County,6.7,Kentucky,2008,99926,629.86,1.88,627.98
Harlan County,8.4,Kentucky,2008,29591,467.97,0.78,467.2
Harrison County,7.4,Kentucky,2008,18876,309.88,0.2,309.68
Hart County,7.7,Kentucky,2008,18320,417.91,1.98,415.93
Henderson County,7.8,Kentucky,2008,46046,467.24,27.11,440.12
Henry County,6.3,Kentucky,2008,15511,291.11,1.79,289.32
Hickman County,7.2,Kentucky,2008,4957,252.94,8.49,244.44
Hopkins County,7.1,Kentucky,2008,47051,554.23,3.67,550.56
Jackson County,12,Kentucky,2008,13650,346.57,0.24,346.33
Jefferson County,6.6,Kentucky,2008,730194,398.58,13.49,385.09
Jessamine County,5.9,Kentucky,2008,47429,174.45,1.32,173.13
Johnson County,7.3,Kentucky,2008,23256,263.94,2.4,261.54
Kenton County,6.5,Kentucky,2008,158258,164.38,2.42,161.97
Knott County,6.3,Kentucky,2008,16616,353.01,0.82,352.19
Knox County,8.2,Kentucky,2008,31746,387.71,0.04,387.66
Larue County,6.9,Kentucky,2008,14100,263.72,0.53,263.2
Laurel County,7.3,Kentucky,2008,58142,443.74,8.07,435.67
Lawrence County,7.8,Kentucky,2008,15867,420.12,1.35,418.78
Lee County,7.8,Kentucky,2008,7859,211.22,1.36,209.86
Leslie County,7.9,Kentucky,2008,11465,404.36,0.33,404.03
Letcher County,6.7,Kentucky,2008,24363,339.12,0.07,339.04
Lewis County,9.3,Kentucky,2008,13997,495.7,11.21,484.49
Lincoln County,8.3,Kentucky,2008,24664,336.47,0.21,336.26
Livingston County,6.1,Kentucky,2008,9458,342.2,26.12,316.08
Logan County,6.7,Kentucky,2008,26802,557.1,1.41,555.68
Lyon County,8.5,Kentucky,2008,8374,256.42,40.71,215.7
Madison County,6,Kentucky,2008,81521,443.11,2.42,440.68
Magoffin County,10.5,Kentucky,2008,13233,309.44,0.01,309.44
Marion County,6.9,Kentucky,2008,19647,346.86,0.47,346.39
Marshall County,6.9,Kentucky,2008,31418,340.32,35.43,304.89
Martin County,6.8,Kentucky,2008,13160,230.81,0.11,230.7
Mason County,6.4,Kentucky,2008,17454,246.6,5.49,241.11
McCracken County,6.3,Kentucky,2008,65287,268.08,17.05,251.02
McCreary County,10.7,Kentucky,2008,18144,430.64,2.94,427.7
McLean County,7.6,Kentucky,2008,9673,256.17,1.88,254.3
Meade County,8.5,Kentucky,2008,28962,324.22,15.71,308.51
Menifee County,10.8,Kentucky,2008,6457,206.03,2.13,203.9
Mercer County,6.8,Kentucky,2008,21273,253.11,2.2,250.92
Metcalfe County,7.3,Kentucky,2008,10166,290.96,0.07,290.9
Monroe County,9,Kentucky,2008,10990,332.11,1.3,330.81
Montgomery County,8.2,Kentucky,2008,25981,198.8,0.21,198.59
Morgan County,9.6,Kentucky,2008,14055,383.73,2.47,381.26
Muhlenberg County,8,Kentucky,2008,31486,479.43,4.71,474.72
Nelson County,7.9,Kentucky,2008,42588,424.07,1.45,422.63
Nicholas County,8.6,Kentucky,2008,7135,196.85,0.24,196.61
Ohio County,6.4,Kentucky,2008,24025,596.73,2.94,593.79
Oldham County,5.6,Kentucky,2008,59375,196.54,7.36,189.19
Owen County,7.1,Kentucky,2008,11010,354.16,2.02,352.14
Owsley County,7.7,Kentucky,2008,4761,198.09,0,198.09
Pendleton County,7.9,Kentucky,2008,14867,281.87,1.33,280.54
Perry County,6.9,Kentucky,2008,28686,342.64,0.49,342.15
Pike County,5.8,Kentucky,2008,65275,788.84,1.15,787.69
Powell County,9.1,Kentucky,2008,12794,180.2,0.07,180.14
Pulaski County,7.4,Kentucky,2008,62270,677.05,15.45,661.6
Robertson County,7.1,Kentucky,2008,2272,100.11,0.04,100.07
Rockcastle County,7.9,Kentucky,2008,17216,318.06,0.54,317.53
Rowan County,6.2,Kentucky,2008,23097,286.25,5.43,280.82
Russell County,9.7,Kentucky,2008,17529,282.82,29.29,253.53
Scott County,5.8,Kentucky,2008,45157,285.3,0.57,284.72
Shelby County,6.1,Kentucky,2008,41044,385.65,1.46,384.19
Simpson County,7.7,Kentucky,2008,17182,236.19,0,236.19
Spencer County,7,Kentucky,2008,16845,191.8,5.89,185.9
Taylor County,6,Kentucky,2008,24256,277.05,7.22,269.83
Todd County,6.8,Kentucky,2008,12340,376.97,0.62,376.35
Trigg County,9.1,Kentucky,2008,14153,481.13,38.01,443.12
Trimble County,7.8,Kentucky,2008,8950,156.23,7.38,148.85
Union County,9.4,Kentucky,2008,15072,363.43,18.33,345.1
Warren County,5.8,Kentucky,2008,109803,547.69,2.48,545.21
Washington County,7.9,Kentucky,2008,11551,301.52,0.93,300.59
Wayne County,9.8,Kentucky,2008,20757,484.2,24.8,459.4
Webster County,7.4,Kentucky,2008,13646,335.68,0.93,334.75
Whitley County,7.9,Kentucky,2008,36163,445.15,4.99,440.15
Wolfe County,9.9,Kentucky,2008,7294,222.86,0.08,222.78
Woodford County,5.4,Kentucky,2008,24541,191.98,1.3,190.68
Acadia Parish,4.5,Louisiana,2008,61115,657.62,2.33,655.28
Allen Parish,6.3,Louisiana,2008,25854,765.67,1.17,764.5
Ascension Parish,4.5,Louisiana,2008,102891,302.88,11.35,291.53
Assumption Parish,5.9,Louisiana,2008,23534,364.55,25.87,338.68
Avoyelles Parish,6.3,Louisiana,2008,42040,865.67,33.24,832.44
Beauregard Parish,5.6,Louisiana,2008,34893,1165.99,5.9,1160.09
Bienville Parish,7,Louisiana,2008,14494,821.77,11.13,810.64
Bossier Parish,5,Louisiana,2008,113824,866.93,27.68,839.25
Caddo Parish,6.3,Louisiana,2008,251953,936.9,54.91,881.99
Calcasieu Parish,4.6,Louisiana,2008,188928,1094.34,23.22,1071.12
Caldwell Parish,5.6,Louisiana,2008,10224,540.72,11.3,529.42
Cameron Parish,4.9,Louisiana,2008,7434,1931.6,618.63,1312.96
Catahoula Parish,7.1,Louisiana,2008,10567,739.43,35.78,703.65
Claiborne Parish,7.8,Louisiana,2008,17169,767.55,12.9,754.65
Concordia Parish,6.6,Louisiana,2008,20420,748.68,52.77,695.91
De Soto Parish,6.9,Louisiana,2008,26590,894.49,17.29,877.2
East Baton Rouge Parish,4.9,Louisiana,2008,433723,470.54,15.11,455.43
East Carroll Parish,10.9,Louisiana,2008,7939,442.45,21.01,421.44
East Feliciana Parish,5.8,Louisiana,2008,20415,455.69,2.29,453.4
Evangeline Parish,5.8,Louisiana,2008,34316,679.61,15.34,664.27
Franklin Parish,8,Louisiana,2008,20758,635.43,11.82,623.61
Grant Parish,5.7,Louisiana,2008,21657,664.56,19.45,645.11
Iberia Parish,4.4,Louisiana,2008,73522,1030.86,455.73,575.13
Iberville Parish,7.1,Louisiana,2008,33685,652.84,34.2,618.64
Jackson Parish,5.2,Louisiana,2008,16105,580.34,10.59,569.75
Jefferson Davis Parish,4.1,Louisiana,2008,31497,642.41,335.89,306.52
Jefferson Parish,5,Louisiana,2008,431759,658.58,6.26,652.31
La Salle Parish,4.4,Louisiana,2008,14667,270.29,0.46,269.83
Lafayette Parish,3.6,Louisiana,2008,215139,1472.19,387.51,1084.68
Lafourche Parish,3.7,Louisiana,2008,95603,662.36,38.54,623.83
Lincoln Parish,5.5,Louisiana,2008,45726,472.27,0.89,471.38
Livingston Parish,4.6,Louisiana,2008,123962,702.84,54.82,648.02
Madison Parish,7.5,Louisiana,2008,12340,650.53,26.45,624.09
Morehouse Parish,11.1,Louisiana,2008,28311,805.2,10.95,794.25
Natchitoches Parish,6.1,Louisiana,2008,39244,1299.3,43.85,1255.45
Orleans Parish,6.8,Louisiana,2008,301842,350.21,169.66,180.56
Ouachita Parish,5.5,Louisiana,2008,151727,632.7,22.17,610.53
Plaquemines Parish,5.2,Louisiana,2008,22677,2428.54,1583.98,844.56
Pointe Coupee Parish,5.3,Louisiana,2008,22966,590.68,33.34,557.34
Rapides Parish,5,Louisiana,2008,130785,1361.96,39.42,1322.54
Red River Parish,8.1,Louisiana,2008,9185,402.08,12.79,389.29
Richland Parish,7,Louisiana,2008,20727,564.51,6.05,558.45
Sabine Parish,5.4,Louisiana,2008,24124,1011.51,146.25,865.27
Saint Bernard Parish,4.9,Louisiana,2008,28879,1793.75,1328.71,465.04
Saint Charles Parish,5.1,Louisiana,2008,52516,410.16,126.52,283.64
Saint Helena Parish,9.3,Louisiana,2008,11106,409.46,1.09,408.36
Saint James Parish,7.1,Louisiana,2008,22095,257.79,11.66,246.13
Saint John the Baptist Parish,6.4,Louisiana,2008,46811,347.84,128.94,218.9
Saint Landry Parish,5.6,Louisiana,2008,84427,938.83,10.18,928.65
Saint Martin Parish,4.6,Louisiana,2008,51914,816.46,76.6,739.85
Saint Mary Parish,5,Louisiana,2008,54352,1118.83,506.04,612.79
Saint Tammany Parish,4.4,Louisiana,2008,229252,1124.08,269.93,854.15
Tangipahoa Parish,6.2,Louisiana,2008,118621,823.12,32.88,790.24
Tensas Parish,8.5,Louisiana,2008,5376,641.2,38.72,602.48
Terrebonne Parish,3.8,Louisiana,2008,111453,2079.9,824.97,1254.93
Union Parish,5.9,Louisiana,2008,22698,905.28,27.68,877.6
Vermilion Parish,4.7,Louisiana,2008,57421,1538.31,364.53,1173.78
Vernon Parish,4.7,Louisiana,2008,48007,1341.51,13.1,1328.41
Washington Parish,6.9,Louisiana,2008,47000,675.97,6.4,669.57
Webster Parish,6.5,Louisiana,2008,41240,615.07,19.85,595.22
West Baton Rouge Parish,5.1,Louisiana,2008,23252,203.62,12.42,191.2
West Carroll Parish,10.5,Louisiana,2008,11670,360.32,0.92,359.4
West Feliciana Parish,6.6,Louisiana,2008,15767,426.01,20.01,406
Winn Parish,6,Louisiana,2008,15398,956.91,6.43,950.49
Androscoggin County,6.4,Maine,2008,108284,497.23,26.95,470.27
Aroostook County,7.1,Maine,2008,72542,6828.79,157.25,6671.54
Cumberland County,5,Maine,2008,280681,1216.89,381.38,835.51
Franklin County,8.2,Maine,2008,30652,1744.31,46.5,1697.81
Hancock County,7.4,Maine,2008,54371,2351.03,763.33,1587.7
Kennebec County,6.1,Maine,2008,122147,951.18,83.6,867.58
Knox County,6.4,Maine,2008,40225,1142.1,776.43,365.67
Lincoln County,6.4,Maine,2008,34768,699.81,243.82,455.99
Oxford County,8.1,Maine,2008,58138,2175.26,97.26,2078
Penobscot County,6.2,Maine,2008,153372,3556.14,160.41,3395.73
Piscataquis County,9.8,Maine,2008,17534,4377.36,411.14,3966.22
Sagadahoc County,5.6,Maine,2008,35860,370.19,116.29,253.9
Somerset County,8.6,Maine,2008,52316,4095.37,168.87,3926.5
Waldo County,7.2,Maine,2008,38680,852.74,123.01,729.73
Washington County,7.8,Maine,2008,33289,3254.91,686.44,2568.48
York County,5.7,Maine,2008,197650,1271.34,280.43,990.92
Allegany County,6.1,Maryland,2008,74638,429.82,4.4,425.42
Anne Arundel County,4.4,Maryland,2008,525304,587.9,171.96,415.94
Baltimore City,7.7,Maryland,2008,620184,92.08,11.27,80.8
Baltimore County,5.3,Maryland,2008,798651,682.03,83.44,598.59
Calvert County,4,Maryland,2008,87788,345.09,129.91,215.17
Caroline County,6.4,Maryland,2008,32983,326.06,5.92,320.14
Carroll County,4.5,Maryland,2008,167433,452.4,3.27,449.13
Cecil County,5.8,Maryland,2008,100232,417.88,69.75,348.13
Charles County,4.2,Maryland,2008,143783,643.22,182.22,461
Dorchester County,8.2,Maryland,2008,32466,982.92,425.38,557.54
Frederick County,4.3,Maryland,2008,229286,667.34,4.46,662.88
Garrett County,5.5,Maryland,2008,30222,655.9,7.94,647.96
Harford County,4.9,Maryland,2008,242779,526.72,86.37,440.35
Howard County,3.6,Maryland,2008,278405,253.55,1.51,252.04
Kent County,5.3,Maryland,2008,20150,414.31,134.87,279.43
Montgomery County,3.7,Maryland,2008,942748,507.14,11.63,495.52
Prince George's County,5.1,Maryland,2008,850167,498.45,13.01,485.43
Queen Anne's County,4.8,Maryland,2008,47063,509.79,137.58,372.21
Saint Mary's County,4.1,Maryland,2008,101921,764.5,403.25,361.25
Somerset County,7.4,Maryland,2008,26474,610.78,283.56,327.21
Talbot County,5,Maryland,2008,37307,476.77,207.64,269.14
Washington County,6.6,Maryland,2008,146674,467.55,9.41,458.14
Wicomico County,6.7,Maryland,2008,97111,399.79,22.62,377.17
Worcester County,10.9,Maryland,2008,51196,694.73,221.49,473.24
Barnstable County,7.3,Massachusetts,2008,217066,1305.62,910.1,395.51
Berkshire County,5.8,Massachusetts,2008,131372,946.27,14.95,931.32
Bristol County,7.7,Massachusetts,2008,546456,691.19,135.19,556
Dukes County,6.1,Massachusetts,2008,16132,490.95,387.18,103.78
Essex County,6.5,Massachusetts,2008,734361,828.53,327.86,500.67
