state,county,2003 Continuum,2003 Influence,Less high 1990,High diploma 1990,Some college 1990,Bachelors or higher 1990,Per less high 1990,Per high diploma 1990,Per some college 1990,Per bachelors or higher 1990,Less high 2000,High diploma 2000,Some college 2000,Bachelors or higher 2000,Per less high 2000,Per high diploma 2000,Per some college 2000,Per bachelors or higher 2000,2013 Continuum,2013 Urban Influence Code,Less high 2011,High diploma 2011,Some college 2011,Bachelors or higher 2011,Per less high 2011,Per high diploma 2011,Per some college 2011,Per bachelors or higher 2011
Utah,Box Elder County,4,5,3155,6437,6247,3391,16.4,33.5,32.5,17.6,2782,7144,8403,4437,12.2,31.4,36.9,19.5,2,2,2352,9701,11378,6404,7.9,32.5,38.1,21.5
Utah,Cache County,3,2,3540,8285,11250,9907,10.7,25.1,34.1,30.0,4081,9639,15262,13562,9.6,22.7,35.9,31.9,3,2,4432,12871,20240,21253,7.5,21.9,34.4,36.1
Utah,Carbon County,7,8,2966,3557,3582,1442,25.7,30.8,31.0,12.5,2288,3794,4526,1482,18.9,31.4,37.4,12.3,7,8,1573,3536,6051,1985,12.0,26.9,46.0,15.1
Utah,Daggett County,8,7,101,128,133,48,24.6,31.2,32.4,11.7,103,223,231,75,16.3,35.3,36.6,11.9,9,10,34,181,223,83,6.5,34.7,42.8,15.9
Utah,Davis County,2,2,9487,24646,37380,21989,10.1,26.4,40.0,23.5,9735,29278,50387,36132,7.8,23.3,40.1,28.8,2,2,8807,39149,72350,64195,4.8,21.2,39.2,34.8
Utah,Duchesne County,6,6,1593,2269,1714,747,25.2,35.9,27.1,11.8,1474,2922,2370,986,19.0,37.7,30.6,12.7,7,9,1396,4072,4156,1693,12.3,36.0,36.7,15.0
Utah,Emery County,9,10,919,2090,1665,541,17.6,40.1,31.9,10.4,943,2113,2228,696,15.8,35.3,37.3,11.6,7,10,643,2163,2938,826,9.8,32.9,44.7,12.6
Utah,Garfield County,9,10,464,970,526,345,20.1,42.1,22.8,15.0,401,921,934,573,14.2,32.6,33.0,20.3,9,12,289,1151,1236,658,8.7,34.5,37.1,19.7
Utah,Grand County,7,11,828,1460,1200,636,20.1,35.4,29.1,15.4,959,1471,1798,1258,17.5,26.8,32.8,22.9,7,11,647,1579,2766,1551,9.9,24.1,42.3,23.7
Utah,Iron County,4,5,1446,2718,3807,2238,14.2,26.6,37.3,21.9,1861,3925,6655,3877,11.4,24.1,40.8,23.8,4,5,2148,6312,9817,7327,8.4,24.7,38.3,28.6
Utah,Juab County,2,2,733,1220,996,284,22.7,37.7,30.8,8.8,732,1517,1519,522,17.1,35.4,35.4,12.2,2,2,508,2011,2314,909,8.8,35.0,40.3,15.8
Utah,Kane County,6,6,514,1048,1026,347,17.5,35.7,35.0,11.8,522,1008,1501,811,13.6,26.2,39.1,21.1,6,6,241,1482,2140,1277,4.7,28.8,41.6,24.8
Utah,Millard County,7,11,877,1812,2206,923,15.1,31.1,37.9,15.9,897,2073,2662,1137,13.3,30.6,39.3,16.8,7,11,911,2217,2962,1519,12.0,29.1,38.9,20.0
Utah,Morgan County,2,2,283,1077,956,543,9.9,37.7,33.4,19.0,283,1125,1509,888,7.4,29.6,39.7,23.3,2,2,92,1413,2277,1998,1.6,24.4,39.4,34.6
Utah,Piute County,9,12,157,315,209,97,20.2,40.5,26.9,12.5,128,328,308,129,14.3,36.7,34.5,14.4,9,12,218,526,346,232,16.5,39.8,26.2,17.5
Utah,Rich County,8,7,164,356,244,136,18.2,39.6,27.1,15.1,97,389,406,252,8.5,34.0,35.5,22.0,8,7,41,527,564,268,2.9,37.6,40.3,19.1
