county,nov_rate,state,year,2004_pop_est,total area sqmi,water area,land area
Limestone County,4.6,Alabama,2004,69593,607.08,39.03,568.05
Lowndes County,7.6,Alabama,2004,12623,725.03,7.1,717.94
Macon County,6.6,Alabama,2004,22685,613.24,2.72,610.52
Madison County,4,Alabama,2004,295655,812.85,7.93,804.92
Marengo County,6,Alabama,2004,21777,982.85,5.8,977.04
Marion County,5.3,Alabama,2004,30516,743.57,2.16,741.41
Marshall County,4.1,Alabama,2004,85131,623.16,56.1,567.06
Mobile County,5.8,Alabama,2004,397959,1644.02,410.93,1233.09
Monroe County,6.7,Alabama,2004,23769,1034.53,8.67,1025.85
Montgomery County,5.4,Alabama,2004,223002,799.76,9.99,789.76
Morgan County,5.4,Alabama,2004,113006,599.06,16.84,582.21
Perry County,10.2,Alabama,2004,11153,724.08,4.59,719.48
Pickens County,6.8,Alabama,2004,20380,890.05,8.63,881.42
Pike County,4.7,Alabama,2004,30593,672.1,1.06,671.03
Randolph County,6,Alabama,2004,22525,584.11,3.06,581.05
Russell County,7.5,Alabama,2004,49498,647.38,6.06,641.32
Saint Clair County,4.6,Alabama,2004,70416,653.61,19.86,633.75
Shelby County,3.1,Alabama,2004,165757,809.53,14.83,794.69
Sumter County,8.7,Alabama,2004,14324,913.3,8.37,904.94
Talladega County,5.8,Alabama,2004,81139,760.25,20.72,739.53
Tallapoosa County,5.4,Alabama,2004,40904,766.23,48.3,717.93
Tuscaloosa County,4.2,Alabama,2004,171960,1351.23,26.85,1324.37
Walker County,5.5,Alabama,2004,68629,805.3,10.91,794.39
Washington County,8,Alabama,2004,17801,1088.54,7.89,1080.66
Wilcox County,11.6,Alabama,2004,12493,907.46,18.78,888.68
Winston County,6.7,Alabama,2004,24614,631.86,17.42,614.44
Apache County,10.3,Arizona,2004,68161,11218.42,13.54,11204.88
Cochise County,4.5,Arizona,2004,123234,6218.77,49.32,6169.45
Coconino County,4.9,Arizona,2004,125117,18661.21,43.79,18617.42
Gila County,5.8,Arizona,2004,51423,4795.74,28.03,4767.7
Graham County,6.2,Arizona,2004,32703,4641.14,11.83,4629.32
Greenlee County,4.3,Arizona,2004,7549,1848.42,1.42,1847
La Paz County,6,Arizona,2004,19979,4513.36,13.4,4499.95
Maricopa County,4,Arizona,2004,3417860,9224.27,21.13,9203.14
Mohave County,3.9,Arizona,2004,180521,13469.71,158.07,13311.64
Navajo County,7.7,Arizona,2004,102774,9959.49,6.31,9953.18
Pima County,4.3,Arizona,2004,901342,9188.83,2.57,9186.27
Pinal County,5.2,Arizona,2004,219472,5374.09,4.5,5369.59
Santa Cruz County,9,Arizona,2004,41623,1238.11,0.47,1237.63
Yavapai County,4.1,Arizona,2004,187822,8127.78,4.48,8123.3
Yuma County,14.2,Arizona,2004,172824,5518.96,4.87,5514.09
Arkansas County,6.2,Arkansas,2004,19967,1033.79,45.3,988.49
Ashley County,8,Arkansas,2004,23156,939.08,17.93,921.15
Baxter County,5.5,Arkansas,2004,39334,586.74,32.38,554.36
Benton County,3.2,Arkansas,2004,179010,880.24,34.25,845.99
Boone County,4.8,Arkansas,2004,34900,601.82,10.64,591.18
Bradley County,7.3,Arkansas,2004,12107,654.38,3.75,650.63
Calhoun County,5.7,Arkansas,2004,5591,632.54,4.27,628.27
Carroll County,3.8,Arkansas,2004,26052,638.81,8.54,630.27
Chicot County,10.2,Arkansas,2004,12879,690.88,46.86,644.03
Clark County,5.9,Arkansas,2004,22904,882.6,17.17,865.43
Clay County,6.8,Arkansas,2004,16827,641.42,2.12,639.3
Cleburne County,4.8,Arkansas,2004,25018,591.91,38.86,553.05
Cleveland County,5.1,Arkansas,2004,8744,598.8,1.06,597.74
Columbia County,5.7,Arkansas,2004,25154,766.86,0.75,766.11
Conway County,4.9,Arkansas,2004,20519,566.66,10.51,556.15
Craighead County,4.6,Arkansas,2004,86331,712.98,2.14,710.84
Crawford County,4.4,Arkansas,2004,56832,604.2,8.81,595.39
Crittenden County,6.5,Arkansas,2004,50266,636.69,26.52,610.17
Cross County,7.1,Arkansas,2004,18782,622.33,6.49,615.85
Dallas County,6,Arkansas,2004,8740,668.16,0.74,667.42
Desha County,7.5,Arkansas,2004,14270,819.52,54.53,764.99
Drew County,7.4,Arkansas,2004,18595,835.65,7.47,828.18
Faulkner County,4.5,Arkansas,2004,96162,664.01,16.63,647.38
Franklin County,4.2,Arkansas,2004,17955,619.69,10.13,609.55
Fulton County,5.3,Arkansas,2004,12079,620.31,2.16,618.16
Garland County,5.7,Arkansas,2004,91084,734.57,57.35,677.22
Grant County,5,Arkansas,2004,17026,633.01,1.23,631.78
Greene County,5.2,Arkansas,2004,39046,579.65,2.14,577.51
Hempstead County,5.3,Arkansas,2004,22971,741.36,12.59,728.77
Hot Spring County,5.3,Arkansas,2004,31071,622.16,7.22,614.93
Howard County,5.1,Arkansas,2004,13991,595.2,7.78,587.42
Independence County,5.5,Arkansas,2004,34989,771.57,7.79,763.78
Izard County,6,Arkansas,2004,13512,584.02,3.34,580.68
Jackson County,7.8,Arkansas,2004,18159,641.45,7.92,633.52
Jefferson County,7,Arkansas,2004,81455,913.7,28.88,884.82
Johnson County,4.4,Arkansas,2004,23850,682.74,20.57,662.17
Lafayette County,6.1,Arkansas,2004,8153,545.07,18.57,526.5
Lawrence County,6.8,Arkansas,2004,17541,592.34,5.78,586.57
Lee County,9,Arkansas,2004,11512,619.47,17.8,601.66
Lincoln County,7.2,Arkansas,2004,14466,572.17,10.97,561.2
Little River County,4.3,Arkansas,2004,13176,564.87,33.14,531.73
Logan County,4.6,Arkansas,2004,22682,731.5,21.63,709.87
Lonoke County,4.3,Arkansas,2004,58449,802.43,36.47,765.96
Madison County,3.3,Arkansas,2004,14437,837.06,0.25,836.81
Marion County,5.1,Arkansas,2004,16293,640.35,42.65,597.7
Miller County,4.7,Arkansas,2004,41765,637.48,13.5,623.98
Mississippi County,8.1,Arkansas,2004,47777,919.73,21.48,898.25
Monroe County,6.4,Arkansas,2004,9287,621.41,14.76,606.65
Montgomery County,5.1,Arkansas,2004,9334,800.29,19.36,780.93
Nevada County,5.5,Arkansas,2004,9535,620.78,0.83,619.95
Newton County,5.1,Arkansas,2004,8503,823.18,0.21,822.97
Ouachita County,6.4,Arkansas,2004,27107,739.63,7.18,732.45
Perry County,5.1,Arkansas,2004,10352,560.47,9.53,550.94
Phillips County,7.9,Arkansas,2004,24174,727.29,34.62,692.67
Pike County,4.6,Arkansas,2004,11246,613.88,10.87,603.01
Poinsett County,5.3,Arkansas,2004,25039,763.39,5.65,757.74
Polk County,4.8,Arkansas,2004,20057,862.42,3.04,859.38
Pope County,4.5,Arkansas,2004,56606,830.79,18.89,811.9
Prairie County,5,Arkansas,2004,9111,675.76,29.83,645.93
Pulaski County,4.6,Arkansas,2004,366608,807.84,37.02,770.82
Randolph County,6.9,Arkansas,2004,18207,656.04,4.21,651.82
Saint Francis County,7.9,Arkansas,2004,28905,642.4,8.56,633.84
Saline County,4.1,Arkansas,2004,90961,730.46,7,723.46
Scott County,4.2,Arkansas,2004,10872,898.09,4.21,893.88
Searcy County,4.8,Arkansas,2004,8046,668.51,1.36,667.15
Sebastian County,4.4,Arkansas,2004,118168,546.04,9.79,536.24
Sevier County,4.2,Arkansas,2004,16041,581.35,17.41,563.94
Sharp County,6.4,Arkansas,2004,17353,606.35,1.99,604.35
Stone County,6.5,Arkansas,2004,11768,609.43,2.84,606.59
Union County,6.6,Arkansas,2004,43747,1055.27,16.37,1038.9
Van Buren County,6.3,Arkansas,2004,16664,724.32,12.81,711.51
Washington County,3.3,Arkansas,2004,176837,956.01,6.29,949.72
White County,5.7,Arkansas,2004,70403,1042.36,8.33,1034.03
Woodruff County,8.9,Arkansas,2004,8102,594.05,7.49,586.56
Yell County,4.2,Arkansas,2004,21074,948.84,20.95,927.89
Alameda County,5.4,California,2004,1445721,821.15,83.57,737.57
Alpine County,6.3,California,2004,1263,743.19,4.57,738.62
Amador County,5.6,California,2004,37400,604.69,11.73,592.97
Butte County,6.9,California,2004,213065,1677.11,37.62,1639.49
Calaveras County,6.6,California,2004,44530,1036.84,16.81,1020.04
Colusa County,15.5,California,2004,20207,1156.22,5.54,1150.68
Contra Costa County,5.1,California,2004,992424,802.15,82.2,719.95
Del Norte County,7.8,California,2004,27950,1229.75,221.94,1007.81
El Dorado County,4.9,California,2004,171653,1788.1,77.25,1710.85
Fresno County,10.2,California,2004,861035,6017.42,54.7,5962.73
Glenn County,8.6,California,2004,27122,1327.16,12.36,1314.79
Humboldt County,6,California,2004,130702,4052.22,479.74,3572.49
Imperial County,18.1,California,2004,152259,4481.73,307,4174.73
Inyo County,5.4,California,2004,18578,10226.98,23.88,10203.1
Kern County,9.7,California,2004,736296,8161.42,20.46,8140.96
Kings County,10.4,California,2004,143601,1391.49,0.5,1390.99
Lake County,8.8,California,2004,63116,1329.48,71.52,1257.96
Lassen County,7.1,California,2004,34458,4720.37,163.1,4557.27
Los Angeles County,6.1,California,2004,9793263,4752.32,691.45,4060.87
Madera County,9.1,California,2004,137106,2153.32,17.46,2135.86
Marin County,4.1,California,2004,243769,828.2,308.39,519.8
Mariposa County,7.1,California,2004,17844,1462.79,11.67,1451.12
Mendocino County,6.1,California,2004,88030,3878.14,369.17,3508.97
Merced County,10.1,California,2004,237180,1971.87,43.18,1928.69
Modoc County,8.1,California,2004,9605,4203.37,259.28,3944.1
Mono County,5.3,California,2004,13360,3131.8,87.4,3044.4
Monterey County,7.3,California,2004,408731,3771.07,449.12,3321.95
Napa County,5.1,California,2004,130387,788.27,34.53,753.73
Nevada County,5,California,2004,96512,974.49,16.88,957.61
Orange County,3.9,California,2004,2941711,947.98,158.57,789.4
Placer County,4.5,California,2004,302841,1502.78,98.41,1404.37
Plumas County,8.5,California,2004,21000,2613.48,59.78,2553.69
Riverside County,5.7,California,2004,1856542,7303.13,95.76,7207.37
Sacramento County,5.2,California,2004,1348932,995.48,29.83,965.65
San Benito County,8.3,California,2004,54849,1390.73,1.68,1389.06
San Bernardino County,5.3,California,2004,1899065,20105.32,52.82,20052.5
San Diego County,4.4,California,2004,2930007,4525.52,325.62,4199.89
San Francisco County,5.7,California,2004,761325,231.92,185.22,46.69
San Joaquin County,8.5,California,2004,642898,1426.25,26.97,1399.28
San Luis Obispo County,4.4,California,2004,256842,3615.54,311.22,3304.32
San Mateo County,4.5,California,2004,690161,741.01,291.95,449.07
Santa Barbara County,4.8,California,2004,407284,3789.08,1052.07,2737.01
Santa Clara County,5.7,California,2004,1663167,1304.01,13.32,1290.69
Santa Cruz County,6.8,California,2004,252356,607.16,161.92,445.24
Shasta County,7.1,California,2004,174867,3847.44,62.24,3785.19
Sierra County,9.4,California,2004,3430,961.97,8.59,953.38
Siskiyou County,9.1,California,2004,44394,6347.46,60.68,6286.78
Solano County,5.5,California,2004,409301,906.67,77.48,829.19
Sonoma County,4.6,California,2004,466809,1768.23,192.35,1575.88
Stanislaus County,8.7,California,2004,492613,1514.67,20.88,1493.79
Sutter County,10.3,California,2004,86484,608.58,6.04,602.54
Tehama County,6.8,California,2004,59571,2962.27,11.28,2950.99
Trinity County,10.9,California,2004,13159,3207.54,28.93,3178.61
Tulare County,11.6,California,2004,398226,4839.09,15.12,4823.97
Tuolumne County,6.8,California,2004,56602,2274.34,38.93,2235.41
Ventura County,5.3,California,2004,793994,2208.2,362.9,1845.3
Yolo County,6.3,California,2004,185237,1022.89,9.62,1013.27
Yuba County,8.6,California,2004,63742,643.73,13.04,630.69
Adams County,5.9,Colorado,2004,384809,1197.71,5.78,1191.93
Alamosa County,5.5,Colorado,2004,15217,723.53,0.78,722.74
Arapahoe County,5.2,Colorado,2004,518971,805.43,2.29,803.14
Archuleta County,5.2,Colorado,2004,11266,1355.48,5.26,1350.22
Baca County,4.3,Colorado,2004,4064,2557.09,1.37,2555.72
Bent County,7,Colorado,2004,6180,1541.12,27.22,1513.9
Boulder County,4.6,Colorado,2004,279728,751.37,8.91,742.46
Broomfield County,5.2,Colorado,2004,44867,33.55,0.55,33
Chaffee County,6.2,Colorado,2004,17047,1015.01,1.55,1013.45
Cheyenne County,3.6,Colorado,2004,1981,1781.37,0.02,1781.35
Clear Creek County,5.3,Colorado,2004,9148,396.46,1.01,395.45
Conejos County,7.4,Colorado,2004,8353,1290.87,3.65,1287.22
Costilla County,11,Colorado,2004,3656,1230.44,3.34,1227.1
Crowley County,8.5,Colorado,2004,5720,800.33,11.34,788.99
Custer County,5.2,Colorado,2004,3911,739.9,1.02,738.89
Delta County,5.2,Colorado,2004,29305,1148.52,6.42,1142.11
Denver County,6,Colorado,2004,550756,154.94,1.59,153.35
Dolores County,6.2,Colorado,2004,1850,1068.09,1.13,1066.97
Douglas County,4.4,Colorado,2004,232508,842.75,2.64,840.11
Eagle County,4.9,Colorado,2004,45893,1691.8,3.93,1687.88
El Paso County,5.4,Colorado,2004,21977,1850.89,0.11,1850.78
Elbert County,4.5,Colorado,2004,556667,2129.56,3.11,2126.45
Fremont County,6.6,Colorado,2004,46605,1533.95,1.02,1532.93
Garfield County,3.8,Colorado,2004,48193,2955.76,8.7,2947.06
Gilpin County,4.5,Colorado,2004,4752,150.25,0.39,149.87
Grand County,4.4,Colorado,2004,13596,1869.6,22.93,1846.67
Gunnison County,4.3,Colorado,2004,14356,3259.75,20.93,3238.81
Hinsdale County,3.4,Colorado,2004,810,1123.14,5.46,1117.68
Huerfano County,8,Colorado,2004,7193,1593.24,2.38,1590.87
Jackson County,3.9,Colorado,2004,1486,1620.95,7.74,1613.21
Jefferson County,5,Colorado,2004,520900,778.06,5.97,772.09
Kiowa County,5,Colorado,2004,1457,1785.76,14.76,1770.99
Kit Carson County,3.6,Colorado,2004,8157,2161.56,0.69,2160.87
La Plata County,3.9,Colorado,2004,46728,383.9,7.01,376.89
Lake County,5.3,Colorado,2004,7434,1699.93,7.78,1692.15
Larimer County,4.3,Colorado,2004,271510,2633.86,32.56,2601.3
Las Animas County,5.1,Colorado,2004,15573,4775.42,2.79,4772.63
Lincoln County,4.6,Colorado,2004,5751,2586.39,0.3,2586.09
Logan County,4.1,Colorado,2004,21795,1844.86,6.33,1838.52
Mesa County,5.1,Colorado,2004,127678,3341.11,13.36,3327.75
Mineral County,4.9,Colorado,2004,848,877.7,1.99,875.72
Moffat County,4.5,Colorado,2004,13175,4750.94,8.69,4742.25
Montezuma County,5.5,Colorado,2004,24456,2039.97,3.34,2036.63
Montrose County,5.1,Colorado,2004,36310,2242.57,1.96,2240.61
Morgan County,4.1,Colorado,2004,27736,1293.87,8.51,1285.36
Otero County,6,Colorado,2004,19436,1269.74,6.89,1262.86
Ouray County,4.5,Colorado,2004,4003,542.21,1.74,540.47
Park County,5.3,Colorado,2004,16130,2210.69,10,2200.69
Phillips County,3.7,Colorado,2004,4475,687.74,0.12,687.62
Pitkin County,6.7,Colorado,2004,15220,973.23,2.81,970.42
Prowers County,5.1,Colorado,2004,13613,1644.35,3.97,1640.38
Pueblo County,7.1,Colorado,2004,148654,2397.73,9.04,2388.69
Rio Blanco County,3.5,Colorado,2004,6007,3222.91,1.94,3220.97
Rio Grande County,6.6,Colorado,2004,12328,912.14,0.53,911.6
Routt County,4.1,Colorado,2004,21162,2368.02,6.43,2361.59
Saguache County,7.1,Colorado,2004,6365,3170.25,1.82,3168.44
San Juan County,8.2,Colorado,2004,631,388.29,0.86,387.42
San Miguel County,6.3,Colorado,2004,7038,1288.49,1.98,1286.5
Sedgwick County,3.4,Colorado,2004,2551,549.6,1.36,548.24
Summit County,4.3,Colorado,2004,25313,619.25,11.09,608.16
Teller County,5.4,Colorado,2004,21678,558.96,1.89,557.06
Washington County,4.6,Colorado,2004,4923,2524.12,3.13,2520.98
Weld County,5.3,Colorado,2004,215322,4021.56,29.11,3992.45
Yuma County,3.5,Colorado,2004,9791,2369.1,3.3,2365.79
Fairfield County,4,Connecticut,2004,897472,836.96,211.15,625.8
Hartford County,5.1,Connecticut,2004,874449,750.57,15.13,735.44
Litchfield County,4.4,Connecticut,2004,188601,944.57,24.65,919.92
Middlesex County,3.7,Connecticut,2004,161450,439.07,69.81,369.26
New Haven County,4.8,Connecticut,2004,844505,862.02,256.38,605.64
New London County,4.1,Connecticut,2004,268595,771.66,105.75,665.91
Tolland County,3.7,Connecticut,2004,146706,417.01,6.94,410.07
Windham County,5,Connecticut,2004,114316,521.47,8.71,512.75
Kent County,2.9,Delaware,2004,139342,800.12,210.4,589.72
New Castle County,3.8,Delaware,2004,518944,493.51,67.24,426.27
Sussex County,3.5,Delaware,2004,172517,1195.65,258.07,937.58
Alachua County,3.2,Florida,2004,229867,969.12,94.88,874.25
Baker County,3.5,Florida,2004,24142,588.89,3.67,585.21
Bay County,4.5,Florida,2004,158804,1033.27,269.6,763.68
Bradford County,3.8,Florida,2004,27703,300.04,6.91,293.13
Brevard County,4.5,Florida,2004,518722,1556.95,538.76,1018.19
Broward County,4.5,Florida,2004,1725461,1319.63,114.24,1205.4
Calhoun County,5.1,Florida,2004,13445,574.34,7.03,567.31
Charlotte County,6,Florida,2004,157755,859.12,165.51,693.6
Citrus County,5.3,Florida,2004,129840,773.15,189.34,583.81
Clay County,4.2,Florida,2004,163238,643.69,42.59,601.11
Collier County,4.1,Florida,2004,296021,2304.93,279.59,2025.34
Columbia County,4.2,Florida,2004,60804,801.04,3.99,797.05
Desoto County,7.9,Florida,2004,33895,639.5,2.23,637.27
Dixie County,4.9,Florida,2004,14825,863.66,159.65,704.01
Duval County,4.8,Florida,2004,820070,918.24,144.57,773.67
Escambia County,5.6,Florida,2004,298225,875.57,213.21,662.35
Flagler County,5.2,Florida,2004,69387,570.76,85.77,485
Franklin County,3.6,Florida,2004,10090,1037.48,493.14,544.34
Gadsden County,4.9,Florida,2004,45129,528.49,12.35,516.13
Gilchrist County,3.7,Florida,2004,15271,355.47,6.58,348.89
Glades County,5.5,Florida,2004,11901,986.43,212.79,773.64
Gulf County,3.6,Florida,2004,15455,744.59,190,554.6
Hamilton County,4.6,Florida,2004,14101,519.31,4.45,514.86
Hardee County,7.4,Florida,2004,26847,638.33,1.03,637.3
Hendry County,9,Florida,2004,36903,1189.79,37.26,1152.53
Hernando County,5.7,Florida,2004,149593,589.08,110.77,478.31
Highlands County,5.8,Florida,2004,93079,1106.28,78.01,1028.27
Hillsborough County,4.2,Florida,2004,1108225,1266.22,215.31,1050.91
Holmes County,4,Florida,2004,19319,488.71,6.26,482.45
Indian River County,7.9,Florida,2004,125001,616.92,113.69,503.23
Jackson County,4.3,Florida,2004,46946,954.58,38.94,915.64
Jefferson County,3.3,Florida,2004,14030,636.65,38.91,597.74
Lafayette County,3.3,Florida,2004,7630,547.92,5.08,542.84
Lake County,4.4,Florida,2004,254625,1156.4,203.25,953.15
Lee County,4.1,Florida,2004,522431,1211.89,408.26,803.63
Leon County,3.5,Florida,2004,254188,701.78,35.04,666.74
Levy County,4.3,Florida,2004,37510,1412.32,293.94,1118.38
Liberty County,3.4,Florida,2004,7449,843.16,7.29,835.87
Madison County,5.9,Florida,2004,19075,715.8,24,691.79
Manatee County,4,Florida,2004,296183,892.75,151.72,741.03
Marion County,4.5,Florida,2004,291164,1663.01,84.15,1578.86
Martin County,5.3,Florida,2004,139729,752.79,197.18,555.62
Miami-Dade County,3.3,Florida,2004,2358684,2431.26,485.19,1946.06
Monroe County,3.2,Florida,2004,77616,3737.15,2740.24,996.91
Nassau County,3.9,Florida,2004,63699,725.86,74.3,651.55
Okaloosa County,3.4,Florida,2004,182506,1082,146.37,935.63
Okeechobee County,6.7,Florida,2004,38556,891.57,117.63,773.94
Orange County,4.4,Florida,2004,1011681,1004.19,96.74,907.45
Osceola County,4.9,Florida,2004,216541,1506.35,184.45,1321.9
Palm Beach County,5.1,Florida,2004,1252223,2386.33,412.22,1974.11
Pasco County,5.1,Florida,2004,401648,867.95,123.1,744.85
Pinellas County,4.5,Florida,2004,928305,607.67,327.75,279.92
Polk County,5,Florida,2004,527685,2009.99,135.6,1874.38
Putnam County,5.6,Florida,2004,72831,827.16,105.27,721.89
Saint Johns County,3.7,Florida,2004,151717,821.43,212.42,609.01
Saint Lucie County,6.9,Florida,2004,228548,688.08,115.63,572.45
Santa Rosa County,4.9,Florida,2004,137241,1173.57,156.65,1016.93
Sarasota County,4,Florida,2004,357751,725.18,153.63,571.55
Seminole County,4.1,Florida,2004,395230,344.87,36.67,308.2
Sumter County,4.4,Florida,2004,64456,580.31,34.58,545.73
Suwannee County,4.4,Florida,2004,37597,691.9,4.26,687.64
Taylor County,5,Florida,2004,20093,1232.01,190.1,1041.91
Union County,3.4,Florida,2004,14470,249.71,9.42,240.29
Volusia County,4.7,Florida,2004,476845,1432.44,329.19,1103.25
Wakulla County,3.3,Florida,2004,25832,735.74,129.08,606.66
Walton County,3.6,Florida,2004,47518,1238.03,180.47,1057.56
Washington County,4.3,Florida,2004,21967,615.79,35.86,579.93
Appling County,6.8,Georgia,2004,17740,512.11,3.61,508.51
Atkinson County,5.9,Georgia,2004,7985,344.1,6.05,338.04
Bacon County,5.1,Georgia,2004,10283,285.92,0.97,284.95
Baker County,4.3,Georgia,2004,4024,349.17,5.95,343.22
Baldwin County,5.3,Georgia,2004,45967,267.5,9.05,258.45
Banks County,3.5,Georgia,2004,16250,233.87,0.2,233.67
Barrow County,4.4,Georgia,2004,55032,162.84,0.67,162.17
Bartow County,5.4,Georgia,2004,87834,470.11,10.69,459.43
Ben Hill County,5.3,Georgia,2004,17106,254.03,2.23,251.79
Berrien County,3.9,Georgia,2004,17399,457.78,5.37,452.41
Bibb County,5.3,Georgia,2004,154159,255.13,5.17,249.96
Bleckley County,7.1,Georgia,2004,12018,219.14,1.74,217.39
Brantley County,5,Georgia,2004,16222,447.42,3.02,444.4
Brooks County,3.7,Georgia,2004,16127,497.77,4.15,493.62
Bryan County,3.6,Georgia,2004,26061,454.49,12.78,441.71
Bulloch County,4.6,Georgia,2004,60832,688.84,6.77,682.07
Burke County,6.4,Georgia,2004,22867,834.99,4.52,830.47
Butts County,5.6,Georgia,2004,21706,190.01,3.4,186.61
Calhoun County,6.1,Georgia,2004,6306,283.57,3.39,280.18
Camden County,4.6,Georgia,2004,46096,782.52,152.61,629.91
Candler County,4.9,Georgia,2004,10039,248.81,1.94,246.88
Carroll County,5,Georgia,2004,99774,503.83,4.89,498.93
Catoosa County,4.1,Georgia,2004,58866,162.66,0.44,162.23
Charlton County,5.1,Georgia,2004,11378,782.97,2.2,780.77
Chatham County,4.1,Georgia,2004,240818,632.28,194.17,438.11
Chattahoochee County,8.8,Georgia,2004,15515,251.17,2.4,248.77
Chattooga County,5.3,Georgia,2004,25537,313.55,0.23,313.33
Cherokee County,3.8,Georgia,2004,173105,433.99,10.31,423.68
Clarke County,4.3,Georgia,2004,109752,121.28,0.49,120.79
Clay County,5.2,Georgia,2004,3233,216.99,21.79,195.21
Clayton County,6,Georgia,2004,255322,144.28,1.66,142.62
Clinch County,7.4,Georgia,2004,6893,824.17,14.88,809.29
Cobb County,4.5,Georgia,2004,640346,344.51,4.36,340.15
Coffee County,5.6,Georgia,2004,39383,602.61,3.72,598.9
Colquitt County,4.9,Georgia,2004,42987,556.55,4.28,552.27
Columbia County,4.3,Georgia,2004,102934,307.78,17.76,290.01
Cook County,6,Georgia,2004,16268,233.22,4.2,229.02
Coweta County,4.1,Georgia,2004,104089,445.98,3.36,442.62
Crawford County,4.4,Georgia,2004,12784,326.45,1.45,325.01
Crisp County,5.5,Georgia,2004,22320,281.2,7.38,273.82
Dade County,4.6,Georgia,2004,16028,174.16,0.18,173.98
Dawson County,4.2,Georgia,2004,18831,213.93,2.9,211.04
Decatur County,6.5,Georgia,2004,27763,623.16,26.36,596.8
Dekalb County,5.7,Georgia,2004,666204,270.91,2.7,268.21
Dodge County,5.5,Georgia,2004,20319,503.17,2.88,500.29
Dooly County,6,Georgia,2004,12848,397.07,4.19,392.88
Dougherty County,6.2,Georgia,2004,94596,334.64,5.04,329.6
Douglas County,5.2,Georgia,2004,107377,200.26,0.96,199.3
Early County,5.3,Georgia,2004,11800,516.27,5.04,511.23
Echols County,3.6,Georgia,2004,3926,420.8,16.67,404.13
Effingham County,3.9,Georgia,2004,43674,482.82,3.4,479.41
Elbert County,6.3,Georgia,2004,20693,374.54,5.78,368.76
Emanuel County,5.2,Georgia,2004,21579,690.33,4.54,685.79
Evans County,3.9,Georgia,2004,10889,186.88,1.96,184.92
Fannin County,5.2,Georgia,2004,21873,391.43,5.69,385.74
Fayette County,3.9,Georgia,2004,99443,199.25,2.2,197.05
Floyd County,5.3,Georgia,2004,94014,518.46,5.33,513.13
Forsyth County,3.5,Georgia,2004,129639,247.37,21.57,225.8
Franklin County,5.3,Georgia,2004,21430,266.37,3.07,263.29
Fulton County,5.3,Georgia,2004,809481,534.61,5.95,528.66
Gilmer County,4.4,Georgia,2004,26175,431.83,5.14,426.69
Glascock County,5.1,Georgia,2004,2720,144.45,0.31,144.14
Glynn County,4.1,Georgia,2004,71475,585.17,162.8,422.37
