county,nov_rate,state,year,2004_pop_est,total area sqmi,water area,land area
Autauga County,4.5,Alabama,2004,48366,604.45,8.48,595.97
Baldwin County,5.7,Alabama,2004,156266,2026.93,430.58,1596.35
Barbour County,7.3,Alabama,2004,28287,904.52,19.61,884.9
Bibb County,4.8,Alabama,2004,21721,626.16,3.14,623.03
Blount County,3.8,Alabama,2004,54124,650.6,5.02,645.59
Bullock County,13,Alabama,2004,11056,626.06,1.04,625.01
Butler County,7.9,Alabama,2004,20870,777.92,1.05,776.87
Calhoun County,5.4,Alabama,2004,113462,612.32,3.86,608.46
Chambers County,6.5,Alabama,2004,35463,603.11,5.94,597.17
Cherokee County,4.3,Alabama,2004,24887,599.95,46.83,553.12
Chilton County,4.3,Alabama,2004,41534,700.76,6.78,693.98
Choctaw County,8,Alabama,2004,14930,920.85,7.34,913.51
Clarke County,7.8,Alabama,2004,26958,1252.51,14.13,1238.38
Clay County,5.5,Alabama,2004,14121,606,0.93,605.07
Cleburne County,5.3,Alabama,2004,14339,561.02,0.81,560.21
Coffee County,4.5,Alabama,2004,45053,680.48,1.49,678.99
Colbert County,6.2,Alabama,2004,54380,623.61,29.08,594.53
Conecuh County,7.1,Alabama,2004,13430,852.51,1.71,850.79
Coosa County,6.5,Alabama,2004,11560,666.36,13.91,652.44
Covington County,5.4,Alabama,2004,36806,1043.86,10.05,1033.82
Crenshaw County,5.7,Alabama,2004,13727,610.88,1.3,609.58
Cullman County,4.6,Alabama,2004,78131,754.82,16.39,738.43
Dale County,5.1,Alabama,2004,49245,562.67,1.6,561.07
Dallas County,9.1,Alabama,2004,44795,993.37,12.66,980.71
Dekalb County,5.6,Alabama,2004,67260,778.65,0.74,777.91
Elmore County,4.5,Alabama,2004,71018,657.21,35.96,621.26
Escambia County,6.7,Alabama,2004,37713,952.95,5.57,947.38
Etowah County,5.9,Alabama,2004,103080,548.75,13.93,534.82
Fayette County,6,Alabama,2004,18022,629.34,1.68,627.66
Franklin County,6,Alabama,2004,30768,646.51,10.86,635.64
Geneva County,4.9,Alabama,2004,25772,578.9,2.62,576.28
Greene County,7.7,Alabama,2004,9686,659.93,14.07,645.87
Hale County,7.3,Alabama,2004,16765,656.47,12.74,643.74
Henry County,5.1,Alabama,2004,16692,568.33,6.53,561.8
Houston County,4.3,Alabama,2004,92593,581.65,1.29,580.36
Jackson County,5.9,Alabama,2004,53525,1126.77,48.02,1078.74
Jefferson County,4.9,Alabama,2004,656023,1123.8,11.2,1112.61
Lamar County,6.9,Alabama,2004,15075,605.47,0.62,604.85
Lauderdale County,5.7,Alabama,2004,88732,718.78,49.32,669.46
Lawrence County,5.6,Alabama,2004,34318,718.07,24.68,693.38
Lee County,4.1,Alabama,2004,122274,615.55,6.84,608.71
