county,oct_rate,state,year
Autauga County,4.8,Alabama,2004
Baldwin County,6.4,Alabama,2004
Barbour County,7.4,Alabama,2004
Bibb County,5.2,Alabama,2004
Blount County,4.2,Alabama,2004
Bullock County,12.7,Alabama,2004
Butler County,9.1,Alabama,2004
Calhoun County,5.4,Alabama,2004
Chambers County,7,Alabama,2004
Cherokee County,4.7,Alabama,2004
Chilton County,4.7,Alabama,2004
Choctaw County,7.9,Alabama,2004
Clarke County,8.3,Alabama,2004
Clay County,6.1,Alabama,2004
Cleburne County,4.9,Alabama,2004
Coffee County,4.9,Alabama,2004
Colbert County,6.4,Alabama,2004
Conecuh County,7.4,Alabama,2004
Coosa County,6.5,Alabama,2004
Covington County,5.8,Alabama,2004
Crenshaw County,6.5,Alabama,2004
Cullman County,4.9,Alabama,2004
Dale County,5.4,Alabama,2004
Dallas County,9.5,Alabama,2004
Dekalb County,5.4,Alabama,2004
Elmore County,4.7,Alabama,2004
Escambia County,7.5,Alabama,2004
Etowah County,6.2,Alabama,2004
Fayette County,6.2,Alabama,2004
Franklin County,6.1,Alabama,2004
Geneva County,4.6,Alabama,2004
Greene County,8.8,Alabama,2004
Hale County,7.4,Alabama,2004
Henry County,5.4,Alabama,2004
Houston County,4.6,Alabama,2004
Jackson County,6.5,Alabama,2004
Jefferson County,5.3,Alabama,2004
Lamar County,7.4,Alabama,2004
Lauderdale County,6,Alabama,2004
Lawrence County,6.6,Alabama,2004
Lee County,4.4,Alabama,2004
Limestone County,5.3,Alabama,2004
Lowndes County,9,Alabama,2004
Macon County,6.8,Alabama,2004
Madison County,4.3,Alabama,2004
Marengo County,6.2,Alabama,2004
Marion County,5.8,Alabama,2004
Marshall County,4.8,Alabama,2004
Mobile County,6.3,Alabama,2004
Monroe County,7.1,Alabama,2004
Montgomery County,5.7,Alabama,2004
Morgan County,6.2,Alabama,2004
Perry County,10.4,Alabama,2004
Pickens County,7.1,Alabama,2004
Pike County,5.3,Alabama,2004
Randolph County,6.4,Alabama,2004
Russell County,6.3,Alabama,2004
Saint Clair County,4.8,Alabama,2004
Shelby County,3.4,Alabama,2004
Sumter County,9.1,Alabama,2004
Talladega County,6.2,Alabama,2004
Tallapoosa County,5.7,Alabama,2004
Tuscaloosa County,4.6,Alabama,2004
Walker County,6.1,Alabama,2004
Washington County,8.5,Alabama,2004
Wilcox County,11.7,Alabama,2004
Winston County,6.9,Alabama,2004
Apache County,9.7,Arizona,2004
Cochise County,4.6,Arizona,2004
Coconino County,4.6,Arizona,2004
Gila County,6.1,Arizona,2004
Graham County,6.3,Arizona,2004
Greenlee County,4.9,Arizona,2004
La Paz County,6.6,Arizona,2004
Maricopa County,4.2,Arizona,2004
Mohave County,4.1,Arizona,2004
Navajo County,7.6,Arizona,2004
Pima County,4.5,Arizona,2004
Pinal County,5.4,Arizona,2004
Santa Cruz County,11.3,Arizona,2004
Yavapai County,4.3,Arizona,2004
Yuma County,15.8,Arizona,2004
Arkansas County,5.5,Arkansas,2004
