county,nov_rate,state,year,2016_pop_est,total area sqmi,water area,land area,per_pov,med_income
Autauga County,5,Alabama,2016,55416,604.45,8.48,595.97,13.5,54487
Baldwin County,5.2,Alabama,2016,208563,2026.93,430.58,1596.35,11.7,56460
Barbour County,8.1,Alabama,2016,25965,904.52,19.61,884.9,29.9,32884
Bibb County,6.2,Alabama,2016,22643,626.16,3.14,623.03,20.1,43079
Blount County,5.1,Alabama,2016,57704,650.6,5.02,645.59,14.1,47213
Bullock County,7.6,Alabama,2016,10362,626.06,1.04,625.01,32.6,34278
Butler County,6.5,Alabama,2016,19998,777.92,1.05,776.87,24.8,35409
Calhoun County,6.3,Alabama,2016,114611,612.32,3.86,608.46,17.1,41778
Chambers County,5.1,Alabama,2016,33843,603.11,5.94,597.17,19.9,39530
Cherokee County,5,Alabama,2016,25725,599.95,46.83,553.12,16.8,41456
Chilton County,5.3,Alabama,2016,43941,700.76,6.78,693.98,18.3,44188
Choctaw County,8.6,Alabama,2016,12993,920.85,7.34,913.51,22.7,32691
Clarke County,10.8,Alabama,2016,24392,1252.51,14.13,1238.38,29.0,34061
Clay County,5.8,Alabama,2016,13492,606,0.93,605.07,18.9,38512
Cleburne County,5.6,Alabama,2016,14924,561.02,0.81,560.21,17.2,43483
Coffee County,5.6,Alabama,2016,51226,680.48,1.49,678.99,14.4,48632
Colbert County,6.5,Alabama,2016,54216,623.61,29.08,594.53,16.7,46572
Conecuh County,8.1,Alabama,2016,12395,852.51,1.71,850.79,28.1,29758
Coosa County,6.4,Alabama,2016,10581,666.36,13.91,652.44,17.5,36441
Covington County,6.6,Alabama,2016,37458,1043.86,10.05,1033.82,19.6,35010
Crenshaw County,5.8,Alabama,2016,13913,610.88,1.3,609.58,20.5,37374
Cullman County,4.7,Alabama,2016,82471,754.82,16.39,738.43,14.9,41543
Dale County,5.5,Alabama,2016,49226,562.67,1.6,561.07,20.6,40523
Dallas County,8.6,Alabama,2016,40008,993.37,12.66,980.71,35.4,30488
Dekalb County,5.9,Alabama,2016,70900,778.65,0.74,777.91,20.5,37128
Elmore County,4.7,Alabama,2016,81799,657.21,35.96,621.26,13.5,54553
Escambia County,6.3,Alabama,2016,37728,952.95,5.57,947.38,23.3,35096
Etowah County,5.7,Alabama,2016,102564,548.75,13.93,534.82,17.5,40972
Fayette County,6.4,Alabama,2016,16546,629.34,1.68,627.66,20.3,38403
Franklin County,5.7,Alabama,2016,31628,646.51,10.86,635.64,20.1,37049
Geneva County,5.5,Alabama,2016,26614,578.9,2.62,576.28,20.9,36976
Greene County,10.2,Alabama,2016,8422,659.93,14.07,645.87,34.0,26559
Hale County,7.4,Alabama,2016,14952,656.47,12.74,643.74,23.7,35381
Henry County,6.5,Alabama,2016,17164,568.33,6.53,561.8,18.7,41426
Houston County,5.5,Alabama,2016,104056,581.65,1.29,580.36,19.4,42910
Jackson County,6,Alabama,2016,52138,1126.77,48.02,1078.74,17.5,41407
Jefferson County,5.6,Alabama,2016,659521,1123.8,11.2,1112.61,15.3,50109
Lamar County,5.2,Alabama,2016,13918,605.47,0.62,604.85,18.6,38358
Lauderdale County,5.9,Alabama,2016,92318,718.78,49.32,669.46,15.2,44124
Lawrence County,6.5,Alabama,2016,33244,718.07,24.68,693.38,16.8,43107
Lee County,4.8,Alabama,2016,158991,615.55,6.84,608.71,18.3,47749
Limestone County,5,Alabama,2016,92753,607.08,39.03,568.05,12.8,52181
Lowndes County,10.1,Alabama,2016,10358,725.03,7.1,717.94,31.7,32011
Macon County,7.5,Alabama,2016,18963,613.24,2.72,610.52,30.0,30681
Madison County,4.9,Alabama,2016,356967,812.85,7.93,804.92,13.5,61193
Marengo County,7.4,Alabama,2016,19673,982.85,5.8,977.04,25.8,34794
Marion County,6.4,Alabama,2016,29998,743.57,2.16,741.41,18.5,36386
Marshall County,5.1,Alabama,2016,95157,623.16,56.1,567.06,21.0,42117
Mobile County,6.7,Alabama,2016,414836,1644.02,410.93,1233.09,19.5,45233
Monroe County,8.8,Alabama,2016,21530,1034.53,8.67,1025.85,25.7,36639
Montgomery County,5.6,Alabama,2016,226349,799.76,9.99,789.76,18.8,45111
Morgan County,5.3,Alabama,2016,119012,599.06,16.84,582.21,15.8,46843
Perry County,10,Alabama,2016,9574,724.08,4.59,719.48,35.0,25221
Pickens County,6.3,Alabama,2016,20324,890.05,8.63,881.42,25.8,35968
Pike County,6.1,Alabama,2016,33286,672.1,1.06,671.03,25.1,35172
Randolph County,5.1,Alabama,2016,22652,584.11,3.06,581.05,21.8,40283
Russell County,5.2,Alabama,2016,58172,647.38,6.06,641.32,19.3,38617
Saint Clair County,5.1,Alabama,2016,88019,653.61,19.86,633.75,12.0,57856
Shelby County,4.1,Alabama,2016,210622,809.53,14.83,794.69,7.9,74212
Sumter County,7.4,Alabama,2016,13040,913.3,8.37,904.94,32.4,26814
Talladega County,6.8,Alabama,2016,80103,760.25,20.72,739.53,18.0,40555
Tallapoosa County,5.2,Alabama,2016,40727,766.23,48.3,717.93,20.2,40169
Tuscaloosa County,5.3,Alabama,2016,206102,1351.23,26.85,1324.37,17.6,47483
Walker County,6.9,Alabama,2016,64967,805.3,10.91,794.39,20.5,39511
Washington County,8.6,Alabama,2016,16756,1088.54,7.89,1080.66,18.2,37575
Wilcox County,15,Alabama,2016,10986,907.46,18.78,888.68,31.9,24216
Winston County,6.9,Alabama,2016,23805,631.86,17.42,614.44,17.3,38644
Apache County,10.5,Arizona,2016,73112,11218.42,13.54,11204.88,33.2,34040
Cochise County,5.4,Arizona,2016,125770,6218.77,49.32,6169.45,21.1,45151
Coconino County,5.5,Arizona,2016,140908,18661.21,43.79,18617.42,17.8,53643
Gila County,6.6,Arizona,2016,53556,4795.74,28.03,4767.7,20.3,40747
Graham County,5.7,Arizona,2016,37599,4641.14,11.83,4629.32,22.9,46714
Greenlee County,6.1,Arizona,2016,9613,1848.42,1.42,1847,12.0,61110
La Paz County,5.5,Arizona,2016,20317,4513.36,13.4,4499.95,24.8,34285
Maricopa County,4.1,Arizona,2016,4242997,9224.27,21.13,9203.14,15.0,58742
Mohave County,5.8,Arizona,2016,205249,13469.71,158.07,13311.64,18.3,42003
Navajo County,7.3,Arizona,2016,110026,9959.49,6.31,9953.18,28.2,37440
Pima County,4.4,Arizona,2016,1016206,9188.83,2.57,9186.27,18.2,47644
Pinal County,5,Arizona,2016,418540,5374.09,4.5,5369.59,15.4,52642
Santa Cruz County,9.2,Arizona,2016,45985,1238.11,0.47,1237.63,20.9,39090
Yavapai County,4.4,Arizona,2016,225562,8127.78,4.48,8123.3,13.3,49824
Yuma County,16.8,Arizona,2016,205631,5518.96,4.87,5514.09,19.3,42998
Arkansas County,3.2,Arkansas,2016,18214,1033.79,45.3,988.49,18.1,39726
Ashley County,5.6,Arkansas,2016,20492,939.08,17.93,921.15,17.9,41277
Baxter County,3.9,Arkansas,2016,41062,586.74,32.38,554.36,12.7,40147
Benton County,2.5,Arkansas,2016,258291,880.24,34.25,845.99,9.1,64072
Boone County,3.2,Arkansas,2016,37304,601.82,10.64,591.18,15.4,39881
Bradley County,4.6,Arkansas,2016,10996,654.38,3.75,650.63,23.5,34114
Calhoun County,3.5,Arkansas,2016,5144,632.54,4.27,628.27,17.1,33507
Carroll County,3,Arkansas,2016,27646,638.81,8.54,630.27,17.2,37145
Chicot County,5.8,Arkansas,2016,10945,690.88,46.86,644.03,30.1,29527
Clark County,3.6,Arkansas,2016,22657,882.6,17.17,865.43,22.3,37247
Clay County,4.6,Arkansas,2016,14920,641.42,2.12,639.3,19.1,36037
Cleburne County,4.8,Arkansas,2016,25264,591.91,38.86,553.05,16.3,42397
Cleveland County,3.9,Arkansas,2016,8241,598.8,1.06,597.74,15.8,45256
Columbia County,5.1,Arkansas,2016,23901,766.86,0.75,766.11,24.2,35322
Conway County,4.8,Arkansas,2016,20937,566.66,10.51,556.15,18.9,41892
Craighead County,2.7,Arkansas,2016,105835,712.98,2.14,710.84,16.2,44091
Crawford County,3.3,Arkansas,2016,62267,604.2,8.81,595.39,16.8,42941
Crittenden County,4.1,Arkansas,2016,49235,636.69,26.52,610.17,25.5,37627
Cross County,4,Arkansas,2016,17037,622.33,6.49,615.85,19.4,40970
Dallas County,4.2,Arkansas,2016,7469,668.16,0.74,667.42,20.8,33679
Desha County,4.7,Arkansas,2016,11876,819.52,54.53,764.99,26.5,32392
Drew County,4.9,Arkansas,2016,18651,835.65,7.47,828.18,19.2,40441
Faulkner County,3.2,Arkansas,2016,122227,664.01,16.63,647.38,16.0,50909
Franklin County,3.4,Arkansas,2016,17626,619.69,10.13,609.55,17.9,40091
Fulton County,3.8,Arkansas,2016,12123,620.31,2.16,618.16,23.2,33451
Garland County,4,Arkansas,2016,97477,734.57,57.35,677.22,17.8,42087
Grant County,3.1,Arkansas,2016,18082,633.01,1.23,631.78,11.5,54411
Greene County,3.8,Arkansas,2016,44598,579.65,2.14,577.51,15.3,45208
Hempstead County,3.3,Arkansas,2016,21974,741.36,12.59,728.77,20.7,38769
Hot Spring County,3.4,Arkansas,2016,33374,622.16,7.22,614.93,14.7,46313
Howard County,2.9,Arkansas,2016,13377,595.2,7.78,587.42,18.7,36166
Independence County,4.2,Arkansas,2016,37168,771.57,7.79,763.78,15.9,42520
Izard County,4.9,Arkansas,2016,13433,584.02,3.34,580.68,20.1,36987
Jackson County,5.2,Arkansas,2016,17221,641.45,7.92,633.52,24.1,35098
Jefferson County,4.6,Arkansas,2016,70016,913.7,28.88,884.82,23.3,38485
Johnson County,3.9,Arkansas,2016,26176,682.74,20.57,662.17,18.4,37205
Lafayette County,5.1,Arkansas,2016,6847,545.07,18.57,526.5,27.4,32288
Lawrence County,3.6,Arkansas,2016,16735,592.34,5.78,586.57,20.0,39015
Lee County,4.2,Arkansas,2016,9310,619.47,17.8,601.66,35.9,26912
Lincoln County,4.1,Arkansas,2016,13705,572.17,10.97,561.2,27.6,35419
Little River County,4.2,Arkansas,2016,12451,564.87,33.14,531.73,17.5,43567
Logan County,3.7,Arkansas,2016,21792,731.5,21.63,709.87,18.2,39361
Lonoke County,3,Arkansas,2016,72228,802.43,36.47,765.96,12.4,56247
Madison County,2.7,Arkansas,2016,16072,837.06,0.25,836.81,18.3,39059
Marion County,3.6,Arkansas,2016,16325,640.35,42.65,597.7,20.7,33950
Miller County,3.8,Arkansas,2016,43787,637.48,13.5,623.98,22.4,38412
Mississippi County,5.5,Arkansas,2016,42835,919.73,21.48,898.25,24.6,35846
Monroe County,4.7,Arkansas,2016,7169,621.41,14.76,606.65,27.0,32906
Montgomery County,4.8,Arkansas,2016,8879,800.29,19.36,780.93,22.4,36435
Nevada County,3.2,Arkansas,2016,8398,620.78,0.83,619.95,20.4,37612
Newton County,3.4,Arkansas,2016,7936,823.18,0.21,822.97,19.9,33107
Ouachita County,4.4,Arkansas,2016,24098,739.63,7.18,732.45,24.7,36016
Perry County,4,Arkansas,2016,10132,560.47,9.53,550.94,16.9,43819
Phillips County,5,Arkansas,2016,18975,727.29,34.62,692.67,32.3,29073
Pike County,3.9,Arkansas,2016,10832,613.88,10.87,603.01,18.2,34821
Poinsett County,3.7,Arkansas,2016,24023,763.39,5.65,757.74,22.7,36125
Polk County,4.2,Arkansas,2016,20173,862.42,3.04,859.38,23.4,32941
Pope County,3.8,Arkansas,2016,63779,830.79,18.89,811.9,17.5,42916
Prairie County,3.5,Arkansas,2016,8251,675.76,29.83,645.93,17.8,40340
Pulaski County,3.2,Arkansas,2016,393250,807.84,37.02,770.82,17.2,47966
Randolph County,4,Arkansas,2016,17448,656.04,4.21,651.82,18.9,38647
Saint Francis County,4.5,Arkansas,2016,26196,642.4,8.56,633.84,31.6,39675
Saline County,2.8,Arkansas,2016,118703,730.46,7,723.46,8.7,63618
Scott County,3.1,Arkansas,2016,10277,898.09,4.21,893.88,19.7,34245
Searcy County,4,Arkansas,2016,7967,668.51,1.36,667.15,23.1,29747
Sebastian County,3.2,Arkansas,2016,127793,546.04,9.79,536.24,16.9,42559
Sevier County,4.5,Arkansas,2016,16910,581.35,17.41,563.94,20.8,38697
Sharp County,4.8,Arkansas,2016,17157,606.35,1.99,604.35,21.3,32379
Stone County,4.7,Arkansas,2016,12539,609.43,2.84,606.59,21.8,31955
Union County,4.7,Arkansas,2016,39887,1055.27,16.37,1038.9,19.3,41546
Van Buren County,5.8,Arkansas,2016,16628,724.32,12.81,711.51,16.7,38166
Washington County,2.3,Arkansas,2016,228049,956.01,6.29,949.72,15.8,46367
White County,4.2,Arkansas,2016,79263,1042.36,8.33,1034.03,15.7,44329
Woodruff County,4.5,Arkansas,2016,6641,594.05,7.49,586.56,26.3,30400
Yell County,3.8,Arkansas,2016,21552,948.84,20.95,927.89,18.0,38658
Alameda County,3.9,California,2016,1647704,821.15,83.57,737.57,10.7,89472
Alpine County,7.3,California,2016,1071,743.19,4.57,738.62,18.6,57481
Amador County,5.5,California,2016,37383,604.69,11.73,592.97,11.3,59789
Butte County,5.8,California,2016,226864,1677.11,37.62,1639.49,19.5,45097
Calaveras County,5.2,California,2016,45171,1036.84,16.81,1020.04,13.1,57990
Colusa County,15.9,California,2016,21588,1156.22,5.54,1150.68,11.1,54861
Contra Costa County,4.1,California,2016,1135127,802.15,82.2,719.95,8.7,90920
Del Norte County,7,California,2016,27540,1229.75,221.94,1007.81,23.7,39458
El Dorado County,4.7,California,2016,185625,1788.1,77.25,1710.85,8.7,75100
Fresno County,9.2,California,2016,979915,6017.42,54.7,5962.73,25.5,48323
Glenn County,7.1,California,2016,28085,1327.16,12.36,1314.79,16.7,46141
Humboldt County,4.4,California,2016,136646,4052.22,479.74,3572.49,20.0,43164
Imperial County,22.8,California,2016,180883,4481.73,307,4174.73,23.6,43327
Inyo County,4.8,California,2016,18144,10226.98,23.88,10203.1,12.3,53350
Kern County,9.3,California,2016,884788,8161.42,20.46,8140.96,22.4,49812
Kings County,9.5,California,2016,149785,1391.49,0.5,1390.99,17.4,51320
Lake County,6.5,California,2016,64116,1329.48,71.52,1257.96,20.7,40818
Lassen County,6.1,California,2016,30870,4720.37,163.1,4557.27,17.6,49793
Los Angeles County,4.8,California,2016,10137915,4752.32,691.45,4060.87,16.3,61308
Madera County,8.9,California,2016,154697,2153.32,17.46,2135.86,20.4,49467
Marin County,3.1,California,2016,260651,828.2,308.39,519.8,7.8,103488
Mariposa County,6.6,California,2016,17410,1462.79,11.67,1451.12,17.9,51233
Mendocino County,5.1,California,2016,87628,3878.14,369.17,3508.97,19.0,45247
Merced County,9.4,California,2016,268672,1971.87,43.18,1928.69,20.3,47442
Modoc County,7.7,California,2016,8795,4203.37,259.28,3944.1,18.4,42890
Mono County,6,California,2016,13981,3131.8,87.4,3044.4,11.5,56574
Monterey County,6.5,California,2016,435232,3771.07,449.12,3321.95,12.9,62999
Napa County,4.3,California,2016,142166,788.27,34.53,753.73,7.9,73112
Nevada County,4.5,California,2016,99107,974.49,16.88,957.61,10.9,60501
Orange County,3.7,California,2016,3172532,947.98,158.57,789.4,11.1,81642
Placer County,4.1,California,2016,380531,1502.78,98.41,1404.37,7.2,85326
Plumas County,8.7,California,2016,18627,2613.48,59.78,2553.69,12.6,53646
Riverside County,5.6,California,2016,2387741,7303.13,95.76,7207.37,15.3,59951
Sacramento County,5,California,2016,1514460,995.48,29.83,965.65,16.3,59728
San Benito County,5.9,California,2016,59414,1390.73,1.68,1389.06,10.5,73298
San Bernardino County,5.2,California,2016,2140096,20105.32,52.82,20052.5,17.6,56194
San Diego County,4.3,California,2016,3317749,4525.52,325.62,4199.89,12.4,70693
San Francisco County,3.1,California,2016,870887,231.92,185.22,46.69,10.2,101873
San Joaquin County,7.6,California,2016,733709,1426.25,26.97,1399.28,14.6,59038
San Luis Obispo County,3.9,California,2016,282887,3615.54,311.22,3304.32,11.0,69517
San Mateo County,2.8,California,2016,764797,741.01,291.95,449.07,6.6,107075
Santa Barbara County,4.8,California,2016,446170,3789.08,1052.07,2737.01,13.9,66360
Santa Clara County,3.5,California,2016,1919402,1304.01,13.32,1290.69,9.3,110843
Santa Cruz County,6.1,California,2016,274673,607.16,161.92,445.24,13.4,75929
Shasta County,6.3,California,2016,179631,3847.44,62.24,3785.19,17.2,46663
Sierra County,6.3,California,2016,2947,961.97,8.59,953.38,14.4,48099
Siskiyou County,7.8,California,2016,43603,6347.46,60.68,6286.78,18.8,40875
Solano County,5.1,California,2016,440207,906.67,77.48,829.19,11.4,73200
Sonoma County,3.7,California,2016,503070,1768.23,192.35,1575.88,9.4,73496
Stanislaus County,7.8,California,2016,541560,1514.67,20.88,1493.79,14.5,54060
Sutter County,9.1,California,2016,96651,608.58,6.04,602.54,17.1,51283
Tehama County,6.1,California,2016,63276,2962.27,11.28,2950.99,20.9,40585
Trinity County,6.7,California,2016,12782,3207.54,28.93,3178.61,21.3,38727
Tulare County,10.7,California,2016,460437,4839.09,15.12,4823.97,24.7,45768
Tuolumne County,5.5,California,2016,53804,2274.34,38.93,2235.41,15.4,50431
Ventura County,5,California,2016,849738,2208.2,362.9,1845.3,9.8,79470
Yolo County,5.5,California,2016,215802,1022.89,9.62,1013.27,19.0,63645
Yuba County,7.7,California,2016,75275,643.73,13.04,630.69,16.6,46054
Adams County,2.9,Colorado,2016,498187,1197.71,5.78,1191.93,11.7,65442
Alamosa County,3.2,Colorado,2016,16654,723.53,0.78,722.74,24.8,37057
Arapahoe County,2.6,Colorado,2016,637068,805.43,2.29,803.14,9.0,70866
Archuleta County,2.7,Colorado,2016,12854,1355.48,5.26,1350.22,12.0,51998
Baca County,1.4,Colorado,2016,3568,2557.09,1.37,2555.72,20.2,34070
Bent County,2.6,Colorado,2016,5861,1541.12,27.22,1513.9,34.1,33951
Boulder County,2.1,Colorado,2016,322226,751.37,8.91,742.46,10.8,74772
Broomfield County,2.5,Colorado,2016,66529,33.55,0.55,33,5.3,86870
Chaffee County,2.2,Colorado,2016,19058,1015.01,1.55,1013.45,11.4,49877
Cheyenne County,2.1,Colorado,2016,1848,1781.37,0.02,1781.35,14.0,50558
Clear Creek County,2.6,Colorado,2016,9436,396.46,1.01,395.45,8.1,68699
Conejos County,3.8,Colorado,2016,8129,1290.87,3.65,1287.22,22.7,34390
Costilla County,3.5,Colorado,2016,3721,1230.44,3.34,1227.1,30.4,27211
Crowley County,2.6,Colorado,2016,5694,800.33,11.34,788.99,48.0,35873
Custer County,2.9,Colorado,2016,4602,739.9,1.02,738.89,13.6,52021
Delta County,4.2,Colorado,2016,30442,1148.52,6.42,1142.11,17.8,41798
Denver County,2.6,Colorado,2016,693060,154.94,1.59,153.35,14.0,61038
Dolores County,2.9,Colorado,2016,2056,1068.09,1.13,1066.97,13.2,46791
Douglas County,2.2,Colorado,2016,328632,842.75,2.64,840.11,3.4,112399
Eagle County,3.1,Colorado,2016,53989,1691.8,3.93,1687.88,7.9,79556
El Paso County,3,Colorado,2016,688284,1850.89,0.11,1850.78,11.5,63610
Elbert County,2.1,Colorado,2016,25231,2129.56,3.11,2126.45,6.0,86693
Fremont County,4.1,Colorado,2016,47446,1533.95,1.02,1532.93,17.5,46372
Garfield County,3,Colorado,2016,58887,2955.76,8.7,2947.06,9.1,69161
Gilpin County,2,Colorado,2016,5931,150.25,0.39,149.87,7.5,65472
Grand County,2.3,Colorado,2016,15008,1869.6,22.93,1846.67,8.2,63875
Gunnison County,2,Colorado,2016,16408,3259.75,20.93,3238.81,13.8,53753
Hinsdale County,1.7,Colorado,2016,788,1123.14,5.46,1117.68,10.0,51717
Huerfano County,5.5,Colorado,2016,6677,1593.24,2.38,1590.87,21.9,34626
Jackson County,1.7,Colorado,2016,1357,1620.95,7.74,1613.21,14.1,46671
Jefferson County,2.4,Colorado,2016,571837,778.06,5.97,772.09,7.0,74342
Kiowa County,1.9,Colorado,2016,1373,1785.76,14.76,1770.99,13.9,43951
Kit Carson County,1.8,Colorado,2016,8195,2161.56,0.69,2160.87,14.3,48272
La Plata County,2.2,Colorado,2016,55623,383.9,7.01,376.89,10.9,58499
Lake County,2.7,Colorado,2016,7618,1699.93,7.78,1692.15,14.6,49064
Larimer County,2.2,Colorado,2016,339993,2633.86,32.56,2601.3,11.2,66561
Las Animas County,3.9,Colorado,2016,14103,4775.42,2.79,4772.63,21.6,38224
Lincoln County,2.1,Colorado,2016,5643,2586.39,0.3,2586.09,18.1,42969
Logan County,2.3,Colorado,2016,21919,1844.86,6.33,1838.52,16.4,49407
Mesa County,4.2,Colorado,2016,150083,3341.11,13.36,3327.75,15.0,49825
Mineral County,1.5,Colorado,2016,732,877.7,1.99,875.72,9.3,52641
Moffat County,2.9,Colorado,2016,13109,4750.94,8.69,4742.25,12.9,54151
Montezuma County,3.8,Colorado,2016,26999,2039.97,3.34,2036.63,15.1,40679
Montrose County,3.2,Colorado,2016,41471,2242.57,1.96,2240.61,16.4,43285
Morgan County,2.6,Colorado,2016,28274,1293.87,8.51,1285.36,11.7,49129
Otero County,3.7,Colorado,2016,18295,1269.74,6.89,1262.86,23.6,36773
Ouray County,3.1,Colorado,2016,4857,542.21,1.74,540.47,8.8,66813
Park County,2.3,Colorado,2016,17166,2210.69,10,2200.69,9.2,68535
Phillips County,1.6,Colorado,2016,4288,687.74,0.12,687.62,11.5,49046
Pitkin County,5.2,Colorado,2016,17752,973.23,2.81,970.42,6.9,74576
Prowers County,2.2,Colorado,2016,11922,1644.35,3.97,1640.38,20.9,40164
Pueblo County,4.2,Colorado,2016,165123,2397.73,9.04,2388.69,19.9,44644
Rio Blanco County,3.9,Colorado,2016,6545,3222.91,1.94,3220.97,9.5,58980
Rio Grande County,4.1,Colorado,2016,11479,912.14,0.53,911.6,17.5,41128
Routt County,2.7,Colorado,2016,24648,2368.02,6.43,2361.59,7.2,71322
Saguache County,4.5,Colorado,2016,6389,3170.25,1.82,3168.44,27.6,33973
San Juan County,4,Colorado,2016,694,388.29,0.86,387.42,15.5,44652
San Miguel County,5.3,Colorado,2016,8017,1288.49,1.98,1286.5,10.1,67251
Sedgwick County,2.1,Colorado,2016,2407,549.6,1.36,548.24,14.8,42518
Summit County,1.8,Colorado,2016,30374,619.25,11.09,608.16,7.9,70265
Teller County,3.2,Colorado,2016,24043,558.96,1.89,557.06,9.5,63966
Washington County,1.9,Colorado,2016,4908,2524.12,3.13,2520.98,14.3,46304
Weld County,2.6,Colorado,2016,294932,4021.56,29.11,3992.45,11.5,63609
Yuma County,1.5,Colorado,2016,10103,2369.1,3.3,2365.79,12.3,48963
Fairfield County,3.7,Connecticut,2016,944177,836.96,211.15,625.8,8.6,89954
Hartford County,4.1,Connecticut,2016,892389,750.57,15.13,735.44,10.9,69341
Litchfield County,3.4,Connecticut,2016,182571,944.57,24.65,919.92,7.2,76323
Middlesex County,3.2,Connecticut,2016,163329,439.07,69.81,369.26,7.9,80190
New Haven County,4.3,Connecticut,2016,856875,862.02,256.38,605.64,11.4,66012
New London County,3.9,Connecticut,2016,269801,771.66,105.75,665.91,9.3,70258
Tolland County,3.2,Connecticut,2016,151118,417.01,6.94,410.07,7.2,81369
Windham County,4.1,Connecticut,2016,116192,521.47,8.71,512.75,11.9,60869
Kent County,4,Delaware,2016,174827,800.12,210.4,589.72,13.6,53994
New Castle County,3.7,Delaware,2016,556987,493.51,67.24,426.27,11.3,67246
Sussex County,4.1,Delaware,2016,220251,1195.65,258.07,937.58,11.6,56618
Alachua County,4.2,Florida,2016,263496,969.12,94.88,874.25,22.3,45294
Baker County,4.7,Florida,2016,27937,588.89,3.67,585.21,17.2,51904
Bay County,4.9,Florida,2016,183974,1033.27,269.6,763.68,14.9,48843
Bradford County,4.2,Florida,2016,26926,300.04,6.91,293.13,18.6,43058
Brevard County,5,Florida,2016,579130,1556.95,538.76,1018.19,14.7,51214
Broward County,4.6,Florida,2016,1909632,1319.63,114.24,1205.4,13.5,54055
Calhoun County,5.3,Florida,2016,14423,574.34,7.03,567.31,21.9,36708
Charlotte County,5.2,Florida,2016,178465,859.12,165.51,693.6,12.6,44935
Citrus County,6.7,Florida,2016,143621,773.15,189.34,583.81,16.6,40009
Clay County,4.5,Florida,2016,208311,643.69,42.59,601.11,9.6,57476
Collier County,4.8,Florida,2016,365136,2304.93,279.59,2025.34,11.4,62397
Columbia County,4.8,Florida,2016,69299,801.04,3.99,797.05,17.8,41667
Desoto County,5.5,Florida,2016,35800,639.5,2.23,637.27,28.6,34146
Dixie County,5.7,Florida,2016,16300,863.66,159.65,704.01,25.4,34146
Duval County,5,Florida,2016,926255,918.24,144.57,773.67,14.5,51948
Escambia County,4.9,Florida,2016,315187,875.57,213.21,662.35,15.2,45004
Flagler County,5.6,Florida,2016,108310,570.76,85.77,485,11.2,50863
Franklin County,4.2,Florida,2016,11901,1037.48,493.14,544.34,23.1,37479
Gadsden County,6,Florida,2016,46006,528.49,12.35,516.13,20.6,40865
Gilchrist County,5.1,Florida,2016,17212,355.47,6.58,348.89,17.3,41721
Glades County,6.3,Florida,2016,13970,986.43,212.79,773.64,21.5,39607
Gulf County,4.5,Florida,2016,15990,744.59,190,554.6,23.5,38381
Hamilton County,5.8,Florida,2016,14361,519.31,4.45,514.86,28.9,34517
Hardee County,7.1,Florida,2016,27360,638.33,1.03,637.3,23.8,37612
Hendry County,8.9,Florida,2016,39290,1189.79,37.26,1152.53,25.1,39911
Hernando County,6,Florida,2016,182835,589.08,110.77,478.31,15.4,46225
Highlands County,6.5,Florida,2016,100917,1106.28,78.01,1028.27,19.1,36864
Hillsborough County,4.4,Florida,2016,1376238,1266.22,215.31,1050.91,15.0,54509
Holmes County,5.5,Florida,2016,19487,488.71,6.26,482.45,24.2,41110
Indian River County,5.9,Florida,2016,151563,616.92,113.69,503.23,12.3,49813
Jackson County,5,Florida,2016,48229,954.58,38.94,915.64,22.6,37358
Jefferson County,5.3,Florida,2016,13906,636.65,38.91,597.74,18.9,43453
Lafayette County,4.1,Florida,2016,8617,547.92,5.08,542.84,23.3,40653
Lake County,4.8,Florida,2016,335396,1156.4,203.25,953.15,11.8,50125
Lee County,4.5,Florida,2016,722336,1211.89,408.26,803.63,12.8,52989
Leon County,4.4,Florida,2016,287822,701.78,35.04,666.74,19.0,51041
Levy County,5.1,Florida,2016,39961,1412.32,293.94,1118.38,21.4,33092
Liberty County,5.1,Florida,2016,8202,843.16,7.29,835.87,23.6,38900
Madison County,5.2,Florida,2016,18224,715.8,24,691.79,31.9,33721
Manatee County,4.5,Florida,2016,375888,892.75,151.72,741.03,12.7,51770
Marion County,5.8,Florida,2016,349020,1663.01,84.15,1578.86,17.4,39629
Martin County,4.7,Florida,2016,158701,752.79,197.18,555.62,11.3,55917
Miami-Dade County,5,Florida,2016,2712945,2431.26,485.19,1946.06,18.2,45886
Monroe County,3.1,Florida,2016,79077,3737.15,2740.24,996.91,11.5,63892
Nassau County,4.5,Florida,2016,80622,725.86,74.3,651.55,10.3,67967
Okaloosa County,4,Florida,2016,201170,1082,146.37,935.63,10.7,58009
Okeechobee County,5.4,Florida,2016,40314,891.57,117.63,773.94,20.2,37689
Orange County,4.3,Florida,2016,1314367,1004.19,96.74,907.45,16.3,51312
Osceola County,4.9,Florida,2016,336015,1506.35,184.45,1321.9,14.8,50716
Palm Beach County,4.7,Florida,2016,1443810,2386.33,412.22,1974.11,12.6,57607
Pasco County,5.1,Florida,2016,512368,867.95,123.1,744.85,13.3,46326
Pinellas County,4.3,Florida,2016,960730,607.67,327.75,279.92,13.3,49974
Polk County,5.6,Florida,2016,666149,2009.99,135.6,1874.38,16.4,46289
Putnam County,6,Florida,2016,72277,827.16,105.27,721.89,21.5,37526
Saint Johns County,3.8,Florida,2016,235087,821.43,212.42,609.01,7.7,78544
Saint Lucie County,5.5,Florida,2016,306507,688.08,115.63,572.45,17.0,45509
