county,oct_rate,state,year
Autauga County,5.6,Alabama,2016
Baldwin County,5.7,Alabama,2016
Barbour County,8.9,Alabama,2016
Bibb County,7.1,Alabama,2016
Blount County,5.8,Alabama,2016
Bullock County,8.1,Alabama,2016
Butler County,7.2,Alabama,2016
Calhoun County,6.9,Alabama,2016
Chambers County,5.8,Alabama,2016
Cherokee County,5.5,Alabama,2016
Chilton County,5.8,Alabama,2016
Choctaw County,9.1,Alabama,2016
Clarke County,11,Alabama,2016
Clay County,6.3,Alabama,2016
Cleburne County,6.5,Alabama,2016
Coffee County,6.2,Alabama,2016
Colbert County,6.9,Alabama,2016
Conecuh County,8.9,Alabama,2016
Coosa County,6.6,Alabama,2016
Covington County,7.1,Alabama,2016
Crenshaw County,6,Alabama,2016
Cullman County,5.4,Alabama,2016
Dale County,6.2,Alabama,2016
Dallas County,9.4,Alabama,2016
Dekalb County,6.4,Alabama,2016
Elmore County,5.3,Alabama,2016
Escambia County,6.9,Alabama,2016
Etowah County,6.3,Alabama,2016
Fayette County,7.1,Alabama,2016
Franklin County,6.3,Alabama,2016
Geneva County,6.1,Alabama,2016
Greene County,10.4,Alabama,2016
Hale County,7.9,Alabama,2016
Henry County,6.8,Alabama,2016
Houston County,6,Alabama,2016
Jackson County,6.5,Alabama,2016
Jefferson County,6.2,Alabama,2016
Lamar County,5.8,Alabama,2016
Lauderdale County,6.2,Alabama,2016
Lawrence County,7,Alabama,2016
Lee County,5.4,Alabama,2016
Limestone County,5.5,Alabama,2016
Lowndes County,10.7,Alabama,2016
Macon County,8,Alabama,2016
Madison County,5.4,Alabama,2016
Marengo County,7.7,Alabama,2016
Marion County,7,Alabama,2016
Marshall County,5.7,Alabama,2016
Mobile County,7.1,Alabama,2016
Monroe County,9.4,Alabama,2016
Montgomery County,6.1,Alabama,2016
Morgan County,5.9,Alabama,2016
Perry County,10.6,Alabama,2016
Pickens County,7.2,Alabama,2016
Pike County,6.7,Alabama,2016
Randolph County,6,Alabama,2016
Russell County,5.9,Alabama,2016
Saint Clair County,5.7,Alabama,2016
Shelby County,4.7,Alabama,2016
Sumter County,7.7,Alabama,2016
Talladega County,7.2,Alabama,2016
Tallapoosa County,6,Alabama,2016
Tuscaloosa County,5.9,Alabama,2016
Walker County,7.6,Alabama,2016
Washington County,8.9,Alabama,2016
Wilcox County,14.5,Alabama,2016
Winston County,7.7,Alabama,2016
Apache County,11.1,Arizona,2016
Cochise County,5.8,Arizona,2016
Coconino County,5.6,Arizona,2016
Gila County,6.9,Arizona,2016
Graham County,6.2,Arizona,2016
Greenlee County,6.7,Arizona,2016
La Paz County,5.5,Arizona,2016
Maricopa County,4.3,Arizona,2016
Mohave County,6.1,Arizona,2016
Navajo County,7.5,Arizona,2016
Pima County,4.7,Arizona,2016
Pinal County,5.3,Arizona,2016
Santa Cruz County,11.6,Arizona,2016
Yavapai County,4.6,Arizona,2016
Yuma County,19.1,Arizona,2016
Arkansas County,3,Arkansas,2016
Ashley County,5.7,Arkansas,2016
Baxter County,4,Arkansas,2016
Benton County,2.6,Arkansas,2016
Boone County,3.1,Arkansas,2016
Bradley County,4.7,Arkansas,2016
Calhoun County,4,Arkansas,2016
Carroll County,2.7,Arkansas,2016
Chicot County,5.8,Arkansas,2016
Clark County,3.8,Arkansas,2016
Clay County,4.7,Arkansas,2016
Cleburne County,4.8,Arkansas,2016
Cleveland County,3.8,Arkansas,2016
Columbia County,5,Arkansas,2016
Conway County,5,Arkansas,2016
Craighead County,2.8,Arkansas,2016
Crawford County,3.3,Arkansas,2016
Crittenden County,4.1,Arkansas,2016
Cross County,3.8,Arkansas,2016
Dallas County,4,Arkansas,2016
Desha County,4.4,Arkansas,2016
Drew County,4.9,Arkansas,2016
Faulkner County,3.2,Arkansas,2016
Franklin County,3.4,Arkansas,2016
Fulton County,3.6,Arkansas,2016
Garland County,4,Arkansas,2016
Grant County,3.1,Arkansas,2016
Greene County,4,Arkansas,2016
Hempstead County,3.4,Arkansas,2016
Hot Spring County,3.5,Arkansas,2016
Howard County,3,Arkansas,2016
Independence County,4.2,Arkansas,2016
Izard County,4.1,Arkansas,2016
Jackson County,5.3,Arkansas,2016
Jefferson County,4.8,Arkansas,2016
Johnson County,3.9,Arkansas,2016
Lafayette County,5.2,Arkansas,2016
Lawrence County,3.5,Arkansas,2016
Lee County,4,Arkansas,2016
Lincoln County,4.2,Arkansas,2016
Little River County,4.5,Arkansas,2016
Logan County,3.9,Arkansas,2016
Lonoke County,3,Arkansas,2016
Madison County,2.7,Arkansas,2016
Marion County,3.5,Arkansas,2016
Miller County,3.9,Arkansas,2016
Mississippi County,5.4,Arkansas,2016
Monroe County,4.3,Arkansas,2016
