county,nov_rate,state,year,2012_pop_est,total area sqmi,water area,land area,per_pov,med_income
Autauga County,6.1,Alabama,2012,55027,604.45,8.48,595.97,12.7,51441
Baldwin County,6.7,Alabama,2012,190403,2026.93,430.58,1596.35,13.9,48867
Barbour County,10.3,Alabama,2012,27132,904.52,19.61,884.9,29.0,30287
Bibb County,7.6,Alabama,2012,22645,626.16,3.14,623.03,21.5,37392
Blount County,5.9,Alabama,2012,57772,650.6,5.02,645.59,16.2,44225
Bullock County,10.3,Alabama,2012,10654,626.06,1.04,625.01,32.3,25854
Butler County,9.9,Alabama,2012,20665,777.92,1.05,776.87,26.3,30605
Calhoun County,7.7,Alabama,2012,117208,612.32,3.86,608.46,21.4,39212
Chambers County,8.1,Alabama,2012,34084,603.11,5.94,597.17,21.5,32320
Cherokee County,6.8,Alabama,2012,26017,599.95,46.83,553.12,19.6,37868
Chilton County,6.4,Alabama,2012,43693,700.76,6.78,693.98,20.1,39621
Choctaw County,8.7,Alabama,2012,13549,920.85,7.34,913.51,20.8,33390
Clarke County,13,Alabama,2012,25148,1252.51,14.13,1238.38,21.5,34606
Clay County,8.1,Alabama,2012,13461,606,0.93,605.07,19.1,34579
Cleburne County,7.3,Alabama,2012,14928,561.02,0.81,560.21,18.6,38235
Coffee County,6.3,Alabama,2012,51180,680.48,1.49,678.99,15.1,45631
Colbert County,7.4,Alabama,2012,54493,623.61,29.08,594.53,16.2,39771
Conecuh County,10.5,Alabama,2012,13007,852.51,1.71,850.79,31.3,27110
Coosa County,8,Alabama,2012,11201,666.36,13.91,652.44,21.0,32960
Covington County,7.6,Alabama,2012,37842,1043.86,10.05,1033.82,20.9,34017
Crenshaw County,7.5,Alabama,2012,13920,610.88,1.3,609.58,20.1,33648
Cullman County,6.6,Alabama,2012,80351,754.82,16.39,738.43,18.7,37938
Dale County,6.8,Alabama,2012,50296,562.67,1.6,561.07,19.1,40125
Dallas County,11.7,Alabama,2012,42748,993.37,12.66,980.71,36.8,27400
Dekalb County,7.6,Alabama,2012,70961,778.65,0.74,777.91,18.1,37644
Elmore County,6,Alabama,2012,80291,657.21,35.96,621.26,13.8,52324
Escambia County,8,Alabama,2012,38063,952.95,5.57,947.38,27.9,33588
Etowah County,7.1,Alabama,2012,104215,548.75,13.93,534.82,21.0,35737
Fayette County,7.5,Alabama,2012,16966,629.34,1.68,627.66,17.6,35720
Franklin County,7.2,Alabama,2012,31652,646.51,10.86,635.64,19.5,33173
Geneva County,6.6,Alabama,2012,27012,578.9,2.62,576.28,22.8,33347
Greene County,12.5,Alabama,2012,8837,659.93,14.07,645.87,34.1,24592
Hale County,10,Alabama,2012,15393,656.47,12.74,643.74,27.9,31025
Henry County,7.2,Alabama,2012,17237,568.33,6.53,561.8,19.2,37108
Houston County,6.9,Alabama,2012,103382,581.65,1.29,580.36,19.0,40609
Jackson County,7.4,Alabama,2012,53087,1126.77,48.02,1078.74,16.4,39618
Jefferson County,6.4,Alabama,2012,657639,1123.8,11.2,1112.61,18.6,43967
Lamar County,6.6,Alabama,2012,14257,605.47,0.62,604.85,22.5,33940
Lauderdale County,6.5,Alabama,2012,92694,718.78,49.32,669.46,20.2,41536
Lawrence County,7.7,Alabama,2012,33788,718.07,24.68,693.38,20.0,38524
Lee County,5.7,Alabama,2012,148289,615.55,6.84,608.71,23.0,43182
Limestone County,5.8,Alabama,2012,87368,607.08,39.03,568.05,12.8,49616
Lowndes County,13.8,Alabama,2012,10835,725.03,7.1,717.94,26.6,28544
Macon County,9.1,Alabama,2012,20632,613.24,2.72,610.52,33.1,27709
Madison County,5.9,Alabama,2012,342773,812.85,7.93,804.92,12.6,57072
Marengo County,8.7,Alabama,2012,20451,982.85,5.8,977.04,26.5,31888
Marion County,7.7,Alabama,2012,30520,743.57,2.16,741.41,22.2,32237
Marshall County,6.8,Alabama,2012,94182,623.16,56.1,567.06,21.5,36960
Mobile County,8,Alabama,2012,413760,1644.02,410.93,1233.09,21.0,39546
Monroe County,11.1,Alabama,2012,22593,1034.53,8.67,1025.85,21.1,36221
Montgomery County,7.1,Alabama,2012,228708,799.76,9.99,789.76,21.7,41430
Morgan County,6.6,Alabama,2012,120123,599.06,16.84,582.21,16.2,44766
Perry County,12.3,Alabama,2012,10184,724.08,4.59,719.48,36.6,25215
Pickens County,8.5,Alabama,2012,19359,890.05,8.63,881.42,23.4,31433
Pike County,7.5,Alabama,2012,33113,672.1,1.06,671.03,26.7,32411
Randolph County,7.6,Alabama,2012,22623,584.11,3.06,581.05,22.8,35024
Russell County,7.6,Alabama,2012,57626,647.38,6.06,641.32,23.6,34310
Saint Clair County,5.8,Alabama,2012,85168,653.61,19.86,633.75,15.8,50989
Shelby County,4.4,Alabama,2012,200789,809.53,14.83,794.69,8.7,67244
Sumter County,8.8,Alabama,2012,13448,913.3,8.37,904.94,36.5,24059
Talladega County,8,Alabama,2012,81941,760.25,20.72,739.53,23.3,34785
Tallapoosa County,7.5,Alabama,2012,41144,766.23,48.3,717.93,23.5,36463
Tuscaloosa County,5.9,Alabama,2012,198581,1351.23,26.85,1324.37,19.5,41495
Walker County,8,Alabama,2012,66211,805.3,10.91,794.39,21.0,36600
Washington County,10.7,Alabama,2012,17115,1088.54,7.89,1080.66,21.0,39173
Wilcox County,18.4,Alabama,2012,11355,907.46,18.78,888.68,36.5,22126
Winston County,9.2,Alabama,2012,24171,631.86,17.42,614.44,26.4,32663
Apache County,17.9,Arizona,2012,72968,11218.42,13.54,11204.88,33.2,32886
Cochise County,8.4,Arizona,2012,131843,6218.77,49.32,6169.45,18.8,43017
Coconino County,8,Arizona,2012,135999,18661.21,43.79,18617.42,24.6,45509
Gila County,9.5,Arizona,2012,53036,4795.74,28.03,4767.7,21.3,38267
Graham County,7.7,Arizona,2012,36958,4641.14,11.83,4629.32,25.4,41080
Greenlee County,7,Arizona,2012,8763,1848.42,1.42,1847,12.0,53312
La Paz County,7.7,Arizona,2012,20365,4513.36,13.4,4499.95,24.5,35236
Maricopa County,6.5,Arizona,2012,3942959,9224.27,21.13,9203.14,17.4,51442
Mohave County,10.1,Arizona,2012,203126,13469.71,158.07,13311.64,21.1,34966
Navajo County,13.1,Arizona,2012,107037,9959.49,6.31,9953.18,30.3,34662
Pima County,6.6,Arizona,2012,992490,9188.83,2.57,9186.27,19.9,44745
Pinal County,7.7,Arizona,2012,382259,5374.09,4.5,5369.59,17.7,50362
Santa Cruz County,15.3,Arizona,2012,47321,1238.11,0.47,1237.63,24.8,36660
Yavapai County,7.6,Arizona,2012,212350,8127.78,4.48,8123.3,15.7,43397
Yuma County,23.4,Arizona,2012,202160,5518.96,4.87,5514.09,21.9,39072
Arkansas County,8.5,Arkansas,2012,18978,1033.79,45.3,988.49,18.4,37907
Ashley County,11.4,Arkansas,2012,21491,939.08,17.93,921.15,20.3,39276
Baxter County,7.6,Arkansas,2012,41068,586.74,32.38,554.36,17.7,35315
Benton County,5.3,Arkansas,2012,234243,880.24,34.25,845.99,13.5,52717
Boone County,6.8,Arkansas,2012,37356,601.82,10.64,591.18,21.2,35848
Bradley County,9.8,Arkansas,2012,11273,654.38,3.75,650.63,25.7,31940
Calhoun County,8.1,Arkansas,2012,5306,632.54,4.27,628.27,19.2,36216
Carroll County,5.2,Arkansas,2012,27574,638.81,8.54,630.27,20.0,34096
Chicot County,10.6,Arkansas,2012,11473,690.88,46.86,644.03,37.0,26911
Clark County,9,Arkansas,2012,22807,882.6,17.17,865.43,26.6,34482
Clay County,9.8,Arkansas,2012,15568,641.42,2.12,639.3,22.4,32642
Cleburne County,8.2,Arkansas,2012,25824,591.91,38.86,553.05,16.9,41337
Cleveland County,7,Arkansas,2012,8615,598.8,1.06,597.74,17.2,41338
Columbia County,7.9,Arkansas,2012,24429,766.86,0.75,766.11,24.5,35024
Conway County,8.9,Arkansas,2012,21205,566.66,10.51,556.15,22.9,35832
Craighead County,6.5,Arkansas,2012,99948,712.98,2.14,710.84,17.6,42437
Crawford County,7.6,Arkansas,2012,61940,604.2,8.81,595.39,21.7,39367
Crittenden County,8.4,Arkansas,2012,50065,636.69,26.52,610.17,24.0,36588
Cross County,7.7,Arkansas,2012,17651,622.33,6.49,615.85,19.9,35839
Dallas County,10.9,Arkansas,2012,7979,668.16,0.74,667.42,23.0,30984
Desha County,9.2,Arkansas,2012,12575,819.52,54.53,764.99,27.4,30298
Drew County,9.5,Arkansas,2012,18762,835.65,7.47,828.18,24.7,33682
Faulkner County,6.1,Arkansas,2012,118534,664.01,16.63,647.38,14.4,49843
Franklin County,6.3,Arkansas,2012,17957,619.69,10.13,609.55,18.6,39763
Fulton County,6.6,Arkansas,2012,12246,620.31,2.16,618.16,23.5,31988
Garland County,7.5,Arkansas,2012,96794,734.57,57.35,677.22,19.8,39617
Grant County,6.2,Arkansas,2012,18026,633.01,1.23,631.78,12.5,47421
Greene County,7.9,Arkansas,2012,43166,579.65,2.14,577.51,19.4,38771
Hempstead County,7,Arkansas,2012,22346,741.36,12.59,728.77,29.0,32292
Hot Spring County,6.7,Arkansas,2012,33457,622.16,7.22,614.93,18.6,41754
Howard County,6.2,Arkansas,2012,13693,595.2,7.78,587.42,19.9,33049
Independence County,8.9,Arkansas,2012,36925,771.57,7.79,763.78,19.5,37818
Izard County,7.9,Arkansas,2012,13522,584.02,3.34,580.68,24.6,29663
Jackson County,10.3,Arkansas,2012,17649,641.45,7.92,633.52,26.7,30604
Jefferson County,9.6,Arkansas,2012,74618,913.7,28.88,884.82,23.9,36346
Johnson County,6.4,Arkansas,2012,25911,682.74,20.57,662.17,18.0,34322
Lafayette County,9.7,Arkansas,2012,7441,545.07,18.57,526.5,28.5,28857
Lawrence County,8,Arkansas,2012,17047,592.34,5.78,586.57,25.0,29229
Lee County,8.5,Arkansas,2012,10162,619.47,17.8,601.66,38.6,26046
Lincoln County,8.2,Arkansas,2012,14139,572.17,10.97,561.2,32.9,36222
Little River County,6.8,Arkansas,2012,12920,564.87,33.14,531.73,18.8,35406
Logan County,7.3,Arkansas,2012,22018,731.5,21.63,709.87,20.9,33850
Lonoke County,5.8,Arkansas,2012,70101,802.43,36.47,765.96,12.4,51212
Madison County,4.9,Arkansas,2012,15619,837.06,0.25,836.81,21.2,33428
Marion County,7.5,Arkansas,2012,16616,640.35,42.65,597.7,21.4,31516
Miller County,5.6,Arkansas,2012,43649,637.48,13.5,623.98,20.9,38225
Mississippi County,10.2,Arkansas,2012,45531,919.73,21.48,898.25,25.6,34058
Monroe County,9,Arkansas,2012,7843,621.41,14.76,606.65,27.3,29032
Montgomery County,7.9,Arkansas,2012,9320,800.29,19.36,780.93,24.0,32779
Nevada County,7.6,Arkansas,2012,8911,620.78,0.83,619.95,25.7,32107
Newton County,6.7,Arkansas,2012,8087,823.18,0.21,822.97,27.1,29316
Ouachita County,9.8,Arkansas,2012,25405,739.63,7.18,732.45,21.9,32749
Perry County,9.2,Arkansas,2012,10336,560.47,9.53,550.94,16.8,40119
Phillips County,10.6,Arkansas,2012,20762,727.29,34.62,692.67,39.0,26013
Pike County,8.3,Arkansas,2012,11270,613.88,10.87,603.01,22.7,33144
Poinsett County,8.2,Arkansas,2012,24293,763.39,5.65,757.74,27.9,32248
Polk County,6.3,Arkansas,2012,20440,862.42,3.04,859.38,23.0,31749
Pope County,6.5,Arkansas,2012,62631,830.79,18.89,811.9,17.9,40206
Prairie County,7.1,Arkansas,2012,8460,675.76,29.83,645.93,21.6,36191
Pulaski County,6.3,Arkansas,2012,388905,807.84,37.02,770.82,18.6,44819
Randolph County,9.6,Arkansas,2012,17854,656.04,4.21,651.82,21.6,33870
Saint Francis County,10.4,Arkansas,2012,27907,642.4,8.56,633.84,32.3,32932
Saline County,5.5,Arkansas,2012,111758,730.46,7,723.46,9.7,57787
Scott County,6,Arkansas,2012,10986,898.09,4.21,893.88,24.4,30630
Searcy County,7.3,Arkansas,2012,7988,668.51,1.36,667.15,28.4,26330
Sebastian County,7.7,Arkansas,2012,127418,546.04,9.79,536.24,20.0,38730
Sevier County,7.7,Arkansas,2012,17153,581.35,17.41,563.94,24.8,32662
Sharp County,9.4,Arkansas,2012,17061,606.35,1.99,604.35,24.4,30076
Stone County,7.3,Arkansas,2012,12610,609.43,2.84,606.59,24.3,28442
Union County,8.4,Arkansas,2012,40864,1055.27,16.37,1038.9,19.9,40026
Van Buren County,9.8,Arkansas,2012,17167,724.32,12.81,711.51,19.8,35876
Washington County,4.9,Arkansas,2012,211497,956.01,6.29,949.72,19.3,41856
White County,7.3,Arkansas,2012,78670,1042.36,8.33,1034.03,19.4,40950
Woodruff County,10,Arkansas,2012,7068,594.05,7.49,586.56,28.1,29184
Yell County,5.8,Arkansas,2012,21804,948.84,20.95,927.89,21.6,38322
Alameda County,7.9,California,2012,1555542,821.15,83.57,737.57,13.1,70209
Alpine County,11,California,2012,1123,743.19,4.57,738.62,19.3,46336
Amador County,11.1,California,2012,37089,604.69,11.73,592.97,13.3,51388
Butte County,10.8,California,2012,221180,1677.11,37.62,1639.49,21.8,40748
Calaveras County,11.1,California,2012,44760,1036.84,16.81,1020.04,14.1,50962
Colusa County,19,California,2012,21323,1156.22,5.54,1150.68,13.4,49871
Contra Costa County,8.1,California,2012,1078242,802.15,82.2,719.95,11.1,74208
Del Norte County,13.2,California,2012,28212,1229.75,221.94,1007.81,24.2,37305
El Dorado County,9.2,California,2012,180558,1788.1,77.25,1710.85,9.3,68446
Fresno County,14.1,California,2012,946844,6017.42,54.7,5962.73,28.2,41563
Glenn County,11.5,California,2012,27938,1327.16,12.36,1314.79,17.3,41201
Humboldt County,8.7,California,2012,134663,4052.22,479.74,3572.49,22.0,39837
Imperial County,25.1,California,2012,177287,4481.73,307,4174.73,22.8,38185
Inyo County,8.7,California,2012,18408,10226.98,23.88,10203.1,11.8,45748
Kern County,11.5,California,2012,855808,8161.42,20.46,8140.96,23.7,45599
Kings County,13.7,California,2012,151042,1391.49,0.5,1390.99,21.5,45464
Lake County,12,California,2012,63942,1329.48,71.52,1257.96,25.1,35437
Lassen County,11,California,2012,33662,4720.37,163.1,4557.27,22.4,47480
Los Angeles County,10.1,California,2012,9953555,4752.32,691.45,4060.87,19.1,52929
Madera County,13.4,California,2012,151947,2153.32,17.46,2135.86,23.3,42054
Marin County,5.7,California,2012,256064,828.2,308.39,519.8,8.5,88654
Mariposa County,11.6,California,2012,17858,1462.79,11.67,1451.12,18.4,43166
Mendocino County,9.1,California,2012,87409,3878.14,369.17,3508.97,21.3,41088
Merced County,14.6,California,2012,261430,1971.87,43.18,1928.69,24.2,42552
Modoc County,13.3,California,2012,9328,4203.37,259.28,3944.1,19.6,36724
Mono County,10.4,California,2012,14325,3131.8,87.4,3044.4,11.5,53067
Monterey County,9.9,California,2012,425799,3771.07,449.12,3321.95,18.1,56038
Napa County,7.9,California,2012,138898,788.27,34.53,753.73,9.7,65698
Nevada County,8.9,California,2012,98305,974.49,16.88,957.61,11.9,54230
