county,nov_rate,state,year,2012_pop_est,total area sqmi,water area,land area,per_pov,med_income
Orange County,7.2,California,2012,3084935,947.98,158.57,789.4,13.0,71866
Placer County,8.5,California,2012,361018,1502.78,98.41,1404.37,9.1,69521
Plumas County,14.7,California,2012,19327,2613.48,59.78,2553.69,14.9,46450
Riverside County,10.6,California,2012,2264919,7303.13,95.76,7207.37,17.8,52416
Sacramento County,9.6,California,2012,1447236,995.48,29.83,965.65,19.5,52617
San Benito County,11.7,California,2012,56799,1390.73,1.68,1389.06,12.8,60577
San Bernardino County,10.4,California,2012,2077247,20105.32,52.82,20052.5,20.4,50603
San Diego County,8.4,California,2012,3181513,4525.52,325.62,4199.89,15.1,60235
San Francisco County,6,California,2012,828816,231.92,185.22,46.69,14.9,72093
San Joaquin County,13.1,California,2012,700611,1426.25,26.97,1399.28,18.5,50431
San Luis Obispo County,7.5,California,2012,274487,3615.54,311.22,3304.32,14.0,58427
San Mateo County,5.8,California,2012,739982,741.01,291.95,449.07,8.4,81568
Santa Barbara County,7.7,California,2012,430638,3789.08,1052.07,2737.01,16.3,60683
Santa Clara County,7.1,California,2012,1838988,1304.01,13.32,1290.69,10.8,91195
Santa Cruz County,10.5,California,2012,266435,607.16,161.92,445.24,13.9,65799
Shasta County,12.8,California,2012,178430,3847.44,62.24,3785.19,17.1,44477
Sierra County,12.7,California,2012,3076,961.97,8.59,953.38,13.7,45157
Siskiyou County,14.4,California,2012,44147,6347.46,60.68,6286.78,21.2,36597
Solano County,9.7,California,2012,419881,906.67,77.48,829.19,14.2,61976
Sonoma County,7.9,California,2012,490509,1768.23,192.35,1575.88,12.1,59855
Stanislaus County,13.7,California,2012,521360,1514.67,20.88,1493.79,20.1,46324
Sutter County,15,California,2012,94362,608.58,6.04,602.54,18.8,46524
Tehama County,12,California,2012,63133,2962.27,11.28,2950.99,22.3,38577
Trinity County,12.2,California,2012,13500,3207.54,28.93,3178.61,21.7,35162
Tulare County,14.9,California,2012,450701,4839.09,15.12,4823.97,29.7,40197
Tuolumne County,11.7,California,2012,54134,2274.34,38.93,2235.41,14.8,46624
Ventura County,8.5,California,2012,834519,2208.2,362.9,1845.3,11.6,71043
Yolo County,9.7,California,2012,204929,1022.89,9.62,1013.27,17.1,51040
Yuba County,13.6,California,2012,72901,643.73,13.04,630.69,22.4,41599
Adams County,8.7,Colorado,2012,460472,1197.71,5.78,1191.93,14.9,55695
Alamosa County,9.7,Colorado,2012,16141,723.53,0.78,722.74,24.4,37731
Arapahoe County,7.1,Colorado,2012,596066,805.43,2.29,803.14,12.0,60525
Archuleta County,9.1,Colorado,2012,12113,1355.48,5.26,1350.22,14.6,46127
Baca County,4.4,Colorado,2012,3762,2557.09,1.37,2555.72,19.4,37775
Bent County,8.3,Colorado,2012,5811,1541.12,27.22,1513.9,31.7,33540
Boulder County,5.7,Colorado,2012,305350,751.37,8.91,742.46,14.2,66894
Broomfield County,6.2,Colorado,2012,58930,33.55,0.55,33,6.4,81040
Chaffee County,6.6,Colorado,2012,18105,1015.01,1.55,1013.45,13.8,44651
Cheyenne County,4.7,Colorado,2012,1873,1781.37,0.02,1781.35,12.2,51093
Clear Creek County,6.4,Colorado,2012,9075,396.46,1.01,395.45,9.6,65359
Conejos County,9.4,Colorado,2012,8279,1290.87,3.65,1287.22,24.7,31970
Costilla County,10.2,Colorado,2012,3603,1230.44,3.34,1227.1,27.4,26075
Crowley County,8.1,Colorado,2012,5418,800.33,11.34,788.99,51.2,30460
Custer County,6.5,Colorado,2012,4241,739.9,1.02,738.89,16.2,46744
Delta County,9.4,Colorado,2012,30438,1148.52,6.42,1142.11,17.5,41208
Denver County,7.2,Colorado,2012,633563,154.94,1.59,153.35,19.5,50455
Dolores County,9.9,Colorado,2012,1998,1068.09,1.13,1066.97,14.5,39254
Douglas County,5.6,Colorado,2012,298754,842.75,2.64,840.11,4.3,98426
Eagle County,7.4,Colorado,2012,51942,1691.8,3.93,1687.88,9.5,69870
El Paso County,8.1,Colorado,2012,645641,1850.89,0.11,1850.78,13.1,55312
Elbert County,6.5,Colorado,2012,23400,2129.56,3.11,2126.45,6.1,81528
Fremont County,11,Colorado,2012,47122,1533.95,1.02,1532.93,19.4,40809
Garfield County,8,Colorado,2012,56709,2955.76,8.7,2947.06,11.9,54088
Gilpin County,6.1,Colorado,2012,5453,150.25,0.39,149.87,8.5,61447
Grand County,6.6,Colorado,2012,14147,1869.6,22.93,1846.67,9.9,56191
Gunnison County,6.1,Colorado,2012,15425,3259.75,20.93,3238.81,16.0,49861
Hinsdale County,5.2,Colorado,2012,797,1123.14,5.46,1117.68,10.0,50177
Huerfano County,13.2,Colorado,2012,6582,1593.24,2.38,1590.87,24.0,31574
Jackson County,4.4,Colorado,2012,1347,1620.95,7.74,1613.21,15.7,43190
Jefferson County,6.8,Colorado,2012,546080,778.06,5.97,772.09,9.3,67401
Kiowa County,4.7,Colorado,2012,1438,1785.76,14.76,1770.99,13.1,40216
Kit Carson County,4.3,Colorado,2012,8107,2161.56,0.69,2160.87,14.3,44059
La Plata County,5.9,Colorado,2012,52356,383.9,7.01,376.89,12.5,55888
Lake County,7.8,Colorado,2012,7280,1699.93,7.78,1692.15,15.9,45504
Larimer County,6.1,Colorado,2012,310965,2633.86,32.56,2601.3,13.7,56132
Las Animas County,12.2,Colorado,2012,14967,4775.42,2.79,4772.63,19.7,38713
Lincoln County,6.1,Colorado,2012,5442,2586.39,0.3,2586.09,19.4,38098
Logan County,5.3,Colorado,2012,21846,1844.86,6.33,1838.52,17.7,42740
Mesa County,9.1,Colorado,2012,147471,3341.11,13.36,3327.75,15.1,46940
Mineral County,5.7,Colorado,2012,710,877.7,1.99,875.72,11.5,47169
Moffat County,7.1,Colorado,2012,13164,4750.94,8.69,4742.25,12.1,57023
Montezuma County,8,Colorado,2012,25437,2039.97,3.34,2036.63,21.2,40351
Montrose County,9.5,Colorado,2012,40678,2242.57,1.96,2240.61,16.4,45226
Morgan County,6.3,Colorado,2012,28331,1293.87,8.51,1285.36,13.4,44577
Otero County,9.9,Colorado,2012,18689,1269.74,6.89,1262.86,23.1,35026
Ouray County,9.4,Colorado,2012,4546,542.21,1.74,540.47,10.1,61657
Park County,6.2,Colorado,2012,16037,2210.69,10,2200.69,11.5,60731
Phillips County,5.1,Colorado,2012,4382,687.74,0.12,687.62,12.2,46216
Pitkin County,9.3,Colorado,2012,17223,973.23,2.81,970.42,8.2,67057
Prowers County,6.8,Colorado,2012,12408,1644.35,3.97,1640.38,21.9,36580
Pueblo County,10.1,Colorado,2012,160397,2397.73,9.04,2388.69,20.2,41209
Rio Blanco County,7.9,Colorado,2012,6796,3222.91,1.94,3220.97,10.1,57922
Rio Grande County,11.1,Colorado,2012,11882,912.14,0.53,911.6,20.6,37837
Routt County,7.2,Colorado,2012,23285,2368.02,6.43,2361.59,8.9,62271
Saguache County,10.6,Colorado,2012,6305,3170.25,1.82,3168.44,32.5,30197
San Juan County,11.2,Colorado,2012,691,388.29,0.86,387.42,16.8,35734
San Miguel County,10.7,Colorado,2012,7578,1288.49,1.98,1286.5,11.2,53477
Sedgwick County,6.5,Colorado,2012,2372,549.6,1.36,548.24,14.6,37633
Summit County,5.8,Colorado,2012,28223,619.25,11.09,608.16,10.2,61286
Teller County,7.7,Colorado,2012,23373,558.96,1.89,557.06,9.7,59558
Washington County,5.1,Colorado,2012,4737,2524.12,3.13,2520.98,14.6,43446
Weld County,7,Colorado,2012,263997,4021.56,29.11,3992.45,14.3,55332
Yuma County,5,Colorado,2012,10117,2369.1,3.3,2365.79,13.5,45059
Fairfield County,7.3,Connecticut,2012,934931,836.96,211.15,625.8,8.9,79536
Hartford County,8.1,Connecticut,2012,897420,750.57,15.13,735.44,12.2,63374
Litchfield County,6.8,Connecticut,2012,187487,944.57,24.65,919.92,7.0,67746
Middlesex County,6.4,Connecticut,2012,165512,439.07,69.81,369.26,6.4,74588
New Haven County,8.5,Connecticut,2012,864177,862.02,256.38,605.64,13.3,59217
New London County,8.2,Connecticut,2012,274267,771.66,105.75,665.91,9.3,65573
Tolland County,6.6,Connecticut,2012,152006,417.01,6.94,410.07,7.3,75048
Windham County,8.7,Connecticut,2012,117995,521.47,8.71,512.75,12.1,54221
Kent County,7.2,Delaware,2012,167605,800.12,210.4,589.72,13.4,51695
New Castle County,6.5,Delaware,2012,546041,493.51,67.24,426.27,11.4,62086
Sussex County,7.2,Delaware,2012,203347,1195.65,258.07,937.58,15.7,48684
Alachua County,6.1,Florida,2012,251587,969.12,94.88,874.25,26.6,41297
Baker County,7.7,Florida,2012,27055,588.89,3.67,585.21,18.8,45721
Bay County,8.5,Florida,2012,172029,1033.27,269.6,763.68,16.5,45259
Bradford County,7,Florida,2012,27141,300.04,6.91,293.13,23.1,38680
Brevard County,8.7,Florida,2012,547753,1556.95,538.76,1018.19,14.8,46332
Broward County,7.3,Florida,2012,1816552,1319.63,114.24,1205.4,15.2,49564
Calhoun County,8.6,Florida,2012,14717,574.34,7.03,567.31,24.0,33418
Charlotte County,8.8,Florida,2012,162937,859.12,165.51,693.6,13.8,44454
Citrus County,9.9,Florida,2012,139341,773.15,189.34,583.81,18.7,38937
Clay County,6.9,Florida,2012,194260,643.69,42.59,601.11,10.9,56359
Collier County,7.7,Florida,2012,332332,2304.93,279.59,2025.34,14.2,54475
Columbia County,8.2,Florida,2012,67949,801.04,3.99,797.05,23.4,37091
Desoto County,9.9,Florida,2012,34781,639.5,2.23,637.27,30.2,33602
Dixie County,9.4,Florida,2012,16074,863.66,159.65,704.01,27.3,31913
Duval County,8,Florida,2012,880870,918.24,144.57,773.67,18.0,43835
Escambia County,7.8,Florida,2012,304218,875.57,213.21,662.35,17.8,44539
Flagler County,9.4,Florida,2012,98605,570.76,85.77,485,15.3,44460
Franklin County,6.2,Florida,2012,11637,1037.48,493.14,544.34,24.5,37868
Gadsden County,9.5,Florida,2012,46574,528.49,12.35,516.13,26.7,35854
Gilchrist County,8.4,Florida,2012,16886,355.47,6.58,348.89,22.0,38016
Glades County,7,Florida,2012,13007,986.43,212.79,773.64,26.3,37004
Gulf County,7.6,Florida,2012,15669,744.59,190,554.6,24.4,34940
Hamilton County,7.8,Florida,2012,14732,519.31,4.45,514.86,28.9,32232
Hardee County,9,Florida,2012,27379,638.33,1.03,637.3,28.2,34012
Hendry County,11.6,Florida,2012,37777,1189.79,37.26,1152.53,26.9,36515
Hernando County,9.7,Florida,2012,173110,589.08,110.77,478.31,18.5,37093
Highlands County,10.1,Florida,2012,98045,1106.28,78.01,1028.27,22.0,34722
Hillsborough County,7.2,Florida,2012,1281677,1266.22,215.31,1050.91,19.1,46534
Holmes County,8.4,Florida,2012,19739,488.71,6.26,482.45,22.9,36272
Indian River County,10,Florida,2012,140650,616.92,113.69,503.23,16.1,42638
Jackson County,8,Florida,2012,49011,954.58,38.94,915.64,21.4,34978
Jefferson County,8.4,Florida,2012,14204,636.65,38.91,597.74,21.3,38244
Lafayette County,5.4,Florida,2012,8811,547.92,5.08,542.84,26.4,34054
Lake County,8.1,Florida,2012,303437,1156.4,203.25,953.15,15.6,41579
Lee County,8,Florida,2012,644096,1211.89,408.26,803.63,15.3,46396
Leon County,6.4,Florida,2012,283808,701.78,35.04,666.74,21.2,46014
Levy County,8.6,Florida,2012,39935,1412.32,293.94,1118.38,22.7,32815
Liberty County,7.5,Florida,2012,8247,843.16,7.29,835.87,26.0,37726
Madison County,8.2,Florida,2012,18939,715.8,24,691.79,25.6,31469
Manatee County,7.4,Florida,2012,334096,892.75,151.72,741.03,15.5,46999
Marion County,9.4,Florida,2012,334294,1663.01,84.15,1578.86,18.6,37287
Martin County,7.7,Florida,2012,148945,752.79,197.18,555.62,14.6,47120
Miami-Dade County,7.6,Florida,2012,2607979,2431.26,485.19,1946.06,20.8,41311
Monroe County,5.4,Florida,2012,74833,3737.15,2740.24,996.91,14.0,52152
Nassau County,7.3,Florida,2012,74638,725.86,74.3,651.55,13.0,55367
Okaloosa County,6.4,Florida,2012,190254,1082,146.37,935.63,13.2,52381
Okeechobee County,9.6,Florida,2012,39287,891.57,117.63,773.94,25.7,34742
Orange County,7.4,Florida,2012,1202048,1004.19,96.74,907.45,18.1,45565
Osceola County,8.7,Florida,2012,289501,1506.35,184.45,1321.9,19.5,42743
Palm Beach County,7.7,Florida,2012,1354987,2386.33,412.22,1974.11,14.5,51217
Pasco County,8.3,Florida,2012,470762,867.95,123.1,744.85,13.4,42695
Pinellas County,7.3,Florida,2012,922075,607.67,327.75,279.92,14.1,44819
Polk County,8.9,Florida,2012,615294,2009.99,135.6,1874.38,18.1,41337
Putnam County,11.4,Florida,2012,73021,827.16,105.27,721.89,25.7,33593
Saint Johns County,6,Florida,2012,202308,821.43,212.42,609.01,9.5,62112
Saint Lucie County,10.1,Florida,2012,283726,688.08,115.63,572.45,17.5,41934
