County,State,Population 2000
Chenango County,New York,51401
Clinton County,New York,79894
Columbia County,New York,63094
Cortland County,New York,48599
Delaware County,New York,48055
Dutchess County,New York,280150
Erie County,New York,950265
Essex County,New York,38851
Franklin County,New York,51134
Fulton County,New York,55073
Genesee County,New York,60370
Greene County,New York,48195
Hamilton County,New York,5379
Herkimer County,New York,64427
Jefferson County,New York,111738
Kings County,New York,2465326
Lewis County,New York,26944
Livingston County,New York,64328
Madison County,New York,69441
Monroe County,New York,735343
Montgomery County,New York,49708
Nassau County,New York,1334544
New York County,New York,1537195
Niagara County,New York,219846
Oneida County,New York,235469
Onondaga County,New York,458336
Ontario County,New York,100224
Orange County,New York,341367
Orleans County,New York,44171
Oswego County,New York,122377
Otsego County,New York,61676
Putnam County,New York,95745
Queens County,New York,2229379
Rensselaer County,New York,152538
Richmond County,New York,443728
Rockland County,New York,286753
St. Lawrence County,New York,111931
Saratoga County,New York,200635
Schenectady County,New York,146555
Schoharie County,New York,31582
Schuyler County,New York,19224
Seneca County,New York,33342
Steuben County,New York,98726
Suffolk County,New York,1419369
Sullivan County,New York,73966
Tioga County,New York,51784
Tompkins County,New York,96501
Ulster County,New York,177749
Warren County,New York,63303
Washington County,New York,61042
Wayne County,New York,93765
Westchester County,New York,923459
Wyoming County,New York,43424
Yates County,New York,24621
Alamance County,North Carolina,130800
Alexander County,North Carolina,33603
Alleghany County,North Carolina,10677
Anson County,North Carolina,25275
Ashe County,North Carolina,24384
Avery County,North Carolina,17167
Beaufort County,North Carolina,44958
Bertie County,North Carolina,19773
Bladen County,North Carolina,32278
Brunswick County,North Carolina,73143
Buncombe County,North Carolina,206330
Burke County,North Carolina,89148
Cabarrus County,North Carolina,131063
Caldwell County,North Carolina,77415
Camden County,North Carolina,6885
Carteret County,North Carolina,59383
Caswell County,North Carolina,23501
Catawba County,North Carolina,141685
Chatham County,North Carolina,49329
Cherokee County,North Carolina,24298
Chowan County,North Carolina,14526
Clay County,North Carolina,8775
Cleveland County,North Carolina,96287
Columbus County,North Carolina,54749
Craven County,North Carolina,91436
Cumberland County,North Carolina,302963
Currituck County,North Carolina,18190
Dare County,North Carolina,29967
Davidson County,North Carolina,147246
Davie County,North Carolina,34835
Duplin County,North Carolina,49063
Durham County,North Carolina,223314
Edgecombe County,North Carolina,55606
Forsyth County,North Carolina,306067
Franklin County,North Carolina,47260
Gaston County,North Carolina,190365
Gates County,North Carolina,10516
Graham County,North Carolina,7993
Granville County,North Carolina,48498
Greene County,North Carolina,18974
Guilford County,North Carolina,421048
Halifax County,North Carolina,57370
Harnett County,North Carolina,91025
Haywood County,North Carolina,54033
Henderson County,North Carolina,89173
Hertford County,North Carolina,22601
Hoke County,North Carolina,33646
Hyde County,North Carolina,5826
Iredell County,North Carolina,122660
Jackson County,North Carolina,33121
Johnston County,North Carolina,121965
Jones County,North Carolina,10381
Lee County,North Carolina,49040
Lenoir County,North Carolina,59648
Lincoln County,North Carolina,63780
McDowell County,North Carolina,42151
Macon County,North Carolina,29811
Madison County,North Carolina,19635
Martin County,North Carolina,25593
Mecklenburg County,North Carolina,695454
Mitchell County,North Carolina,15687
Montgomery County,North Carolina,26822
Moore County,North Carolina,74769
Nash County,North Carolina,87420
New Hanover County,North Carolina,160307
Northampton County,North Carolina,22086
Onslow County,North Carolina,150355
Orange County,North Carolina,118227
Pamlico County,North Carolina,12934
Pasquotank County,North Carolina,34897
Pender County,North Carolina,41082
Perquimans County,North Carolina,11368
Person County,North Carolina,35623
Pitt County,North Carolina,133798
Polk County,North Carolina,18324
Randolph County,North Carolina,130454
Richmond County,North Carolina,46564
Robeson County,North Carolina,123339
Rockingham County,North Carolina,91928
Rowan County,North Carolina,130340
Rutherford County,North Carolina,62899
Sampson County,North Carolina,60161
Scotland County,North Carolina,35998
Stanly County,North Carolina,58100
Stokes County,North Carolina,44711
Surry County,North Carolina,71219
Swain County,North Carolina,12968
Transylvania County,North Carolina,29334
Tyrrell County,North Carolina,4149
Union County,North Carolina,123677
Vance County,North Carolina,42954
Wake County,North Carolina,627846
Warren County,North Carolina,19972
Washington County,North Carolina,13723
Watauga County,North Carolina,42695
Wayne County,North Carolina,113329
Wilkes County,North Carolina,65632
Wilson County,North Carolina,73814
Yadkin County,North Carolina,36348
Yancey County,North Carolina,17774
Adams County,North Dakota,2593
Barnes County,North Dakota,11775
Benson County,North Dakota,6964
Billings County,North Dakota,888
Bottineau County,North Dakota,7149
Bowman County,North Dakota,3242
Burke County,North Dakota,2242
Burleigh County,North Dakota,69416
Cass County,North Dakota,123138
Cavalier County,North Dakota,4831
Dickey County,North Dakota,5757
Divide County,North Dakota,2283
Dunn County,North Dakota,3600
Eddy County,North Dakota,2757
Emmons County,North Dakota,4331
Foster County,North Dakota,3759
Golden Valley County,North Dakota,1924
Grand Forks County,North Dakota,66109
Grant County,North Dakota,2841
Griggs County,North Dakota,2754
Hettinger County,North Dakota,2715
Kidder County,North Dakota,2753
LaMoure County,North Dakota,4701
Logan County,North Dakota,2308
McHenry County,North Dakota,5987
McIntosh County,North Dakota,3390
McKenzie County,North Dakota,5737
McLean County,North Dakota,9311
Mercer County,North Dakota,8644
Morton County,North Dakota,25303
Mountrail County,North Dakota,6631
Nelson County,North Dakota,3715
Oliver County,North Dakota,2065
Pembina County,North Dakota,8585
Pierce County,North Dakota,4675
Ramsey County,North Dakota,12066
Ransom County,North Dakota,5890
Renville County,North Dakota,2610
Richland County,North Dakota,17998
Rolette County,North Dakota,13674
Sargent County,North Dakota,4366
Sheridan County,North Dakota,1710
Sioux County,North Dakota,4044
Slope County,North Dakota,767
Stark County,North Dakota,22636
Steele County,North Dakota,2258
Stutsman County,North Dakota,21908
Towner County,North Dakota,2876
Traill County,North Dakota,8477
Walsh County,North Dakota,12389
Ward County,North Dakota,58795
Wells County,North Dakota,5102
Williams County,North Dakota,19761
Adams County,Ohio,27330
Allen County,Ohio,108473
Ashland County,Ohio,52523
Ashtabula County,Ohio,102728
Athens County,Ohio,62223
Auglaize County,Ohio,46611
Belmont County,Ohio,70226
Brown County,Ohio,42285
Butler County,Ohio,332807
Carroll County,Ohio,28836
Champaign County,Ohio,38890
Clark County,Ohio,144742
Clermont County,Ohio,177977
Clinton County,Ohio,40543
Columbiana County,Ohio,112075
Coshocton County,Ohio,36655
Crawford County,Ohio,46966
Cuyahoga County,Ohio,1393978
Darke County,Ohio,53309
Defiance County,Ohio,39500
Delaware County,Ohio,109989
Erie County,Ohio,79551
Fairfield County,Ohio,122759
Fayette County,Ohio,28433
Franklin County,Ohio,1068978
Fulton County,Ohio,42084
Gallia County,Ohio,31069
Geauga County,Ohio,90895
Greene County,Ohio,147886
Guernsey County,Ohio,40792
Hamilton County,Ohio,845303
Hancock County,Ohio,71295
Hardin County,Ohio,31945
Harrison County,Ohio,15856
Henry County,Ohio,29210
Highland County,Ohio,40875
Hocking County,Ohio,28241
Holmes County,Ohio,38943
Huron County,Ohio,59487
Jackson County,Ohio,32641
Jefferson County,Ohio,73894
Knox County,Ohio,54500
Lake County,Ohio,227511
Lawrence County,Ohio,62319
Licking County,Ohio,145491
Logan County,Ohio,46005
Lorain County,Ohio,284664
Lucas County,Ohio,455054
Madison County,Ohio,40213
Mahoning County,Ohio,257555
Marion County,Ohio,66217
Medina County,Ohio,151095
Meigs County,Ohio,23072
Mercer County,Ohio,40924
Miami County,Ohio,98868
Monroe County,Ohio,15180
Montgomery County,Ohio,559062
Morgan County,Ohio,14897
Morrow County,Ohio,31628
Muskingum County,Ohio,84585
Noble County,Ohio,14058
Ottawa County,Ohio,40985
Paulding County,Ohio,20293
Perry County,Ohio,34078
Pickaway County,Ohio,52727
Pike County,Ohio,27695
Portage County,Ohio,152061
Preble County,Ohio,42337
Putnam County,Ohio,34726
Richland County,Ohio,128852
Ross County,Ohio,73345
Sandusky County,Ohio,61792
Scioto County,Ohio,79195
Seneca County,Ohio,58683
Shelby County,Ohio,47910
Stark County,Ohio,378098
Summit County,Ohio,542899
Trumbull County,Ohio,225116
Tuscarawas County,Ohio,90914
Union County,Ohio,40909
Van Wert County,Ohio,29659
Vinton County,Ohio,12806
Warren County,Ohio,158383
Washington County,Ohio,63251
Wayne County,Ohio,111564
Williams County,Ohio,39188
Wood County,Ohio,121065
Wyandot County,Ohio,22908
Adair County,Oklahoma,21038
Alfalfa County,Oklahoma,6105
Atoka County,Oklahoma,13879
Beaver County,Oklahoma,5857
Beckham County,Oklahoma,19799
Blaine County,Oklahoma,11976
Bryan County,Oklahoma,36534
Caddo County,Oklahoma,30150
Canadian County,Oklahoma,87697
Carter County,Oklahoma,45621
Cherokee County,Oklahoma,42521
Choctaw County,Oklahoma,15342
Cimarron County,Oklahoma,3148
Cleveland County,Oklahoma,208016
Coal County,Oklahoma,6031
Comanche County,Oklahoma,114996
Cotton County,Oklahoma,6614
Craig County,Oklahoma,14950
Creek County,Oklahoma,67367
Custer County,Oklahoma,26142
Delaware County,Oklahoma,37077
Dewey County,Oklahoma,4743
Ellis County,Oklahoma,4075
Garfield County,Oklahoma,57813
Garvin County,Oklahoma,27210
Grady County,Oklahoma,45516
Grant County,Oklahoma,5144
Greer County,Oklahoma,6061
Harmon County,Oklahoma,3283
Harper County,Oklahoma,3562
Haskell County,Oklahoma,11792
Hughes County,Oklahoma,14154
Jackson County,Oklahoma,28439
Jefferson County,Oklahoma,6818
Johnston County,Oklahoma,10513
Kay County,Oklahoma,48080
Kingfisher County,Oklahoma,13926
Kiowa County,Oklahoma,10227
Latimer County,Oklahoma,10692
Le Flore County,Oklahoma,48109
Lincoln County,Oklahoma,32080
Logan County,Oklahoma,33924
Love County,Oklahoma,8831
McClain County,Oklahoma,27740
McCurtain County,Oklahoma,34402
McIntosh County,Oklahoma,19456
Major County,Oklahoma,7545
Marshall County,Oklahoma,13184
Mayes County,Oklahoma,38369
Murray County,Oklahoma,12623
Muskogee County,Oklahoma,69451
Noble County,Oklahoma,11411
Nowata County,Oklahoma,10569
Okfuskee County,Oklahoma,11814
Oklahoma County,Oklahoma,660448
Okmulgee County,Oklahoma,39685
Osage County,Oklahoma,44437
Ottawa County,Oklahoma,33194
Pawnee County,Oklahoma,16612
Payne County,Oklahoma,68190
Pittsburg County,Oklahoma,43953
Pontotoc County,Oklahoma,35143
Pottawatomie County,Oklahoma,65521
Pushmataha County,Oklahoma,11667
Roger Mills County,Oklahoma,3436
Rogers County,Oklahoma,70641
Seminole County,Oklahoma,24894
Sequoyah County,Oklahoma,38972
Stephens County,Oklahoma,43182
Texas County,Oklahoma,20107
Tillman County,Oklahoma,9287
Tulsa County,Oklahoma,563299
Wagoner County,Oklahoma,57491
Washington County,Oklahoma,48996
Washita County,Oklahoma,11508
Woods County,Oklahoma,9089
Woodward County,Oklahoma,18486
Baker County,Oregon,16741
Benton County,Oregon,78153
Clackamas County,Oregon,338391
Clatsop County,Oregon,35630
Columbia County,Oregon,43560
Coos County,Oregon,62779
Crook County,Oregon,19182
Curry County,Oregon,21137
Deschutes County,Oregon,115367
Douglas County,Oregon,100399
Gilliam County,Oregon,1915
Grant County,Oregon,7935
Harney County,Oregon,7609
Hood River County,Oregon,20411
Jackson County,Oregon,181269
Jefferson County,Oregon,19009
Josephine County,Oregon,75726
Klamath County,Oregon,63775
Lake County,Oregon,7422
Lane County,Oregon,322959
Lincoln County,Oregon,44479
Linn County,Oregon,103069
Malheur County,Oregon,31615
Marion County,Oregon,284834
Morrow County,Oregon,10995
Multnomah County,Oregon,660486
Polk County,Oregon,62380
Sherman County,Oregon,1934
Tillamook County,Oregon,24262
Umatilla County,Oregon,70548
Union County,Oregon,24530
Wallowa County,Oregon,7226
Wasco County,Oregon,23791
Washington County,Oregon,445342
Wheeler County,Oregon,1547
Yamhill County,Oregon,84992
Adams County,Pennsylvania,91292
Allegheny County,Pennsylvania,1281666
Armstrong County,Pennsylvania,72392
Beaver County,Pennsylvania,181412
Bedford County,Pennsylvania,49984
Berks County,Pennsylvania,373638
Blair County,Pennsylvania,129144
Bradford County,Pennsylvania,62761
Bucks County,Pennsylvania,597635
Butler County,Pennsylvania,174083
Cambria County,Pennsylvania,152598
Cameron County,Pennsylvania,5974
Carbon County,Pennsylvania,58802
Centre County,Pennsylvania,135758
Chester County,Pennsylvania,433501
Clarion County,Pennsylvania,41765
Clearfield County,Pennsylvania,83382
Clinton County,Pennsylvania,37914
Columbia County,Pennsylvania,64151
Crawford County,Pennsylvania,90366
Cumberland County,Pennsylvania,213674
Dauphin County,Pennsylvania,251798
Delaware County,Pennsylvania,550864
Elk County,Pennsylvania,35112
Erie County,Pennsylvania,280843
Fayette County,Pennsylvania,148644
Forest County,Pennsylvania,4946
Franklin County,Pennsylvania,129313
Fulton County,Pennsylvania,14261
Greene County,Pennsylvania,40672
Huntingdon County,Pennsylvania,45586
Indiana County,Pennsylvania,89605
Jefferson County,Pennsylvania,45932
Juniata County,Pennsylvania,22821
Lackawanna County,Pennsylvania,213295
Lancaster County,Pennsylvania,470658
Lawrence County,Pennsylvania,94643
Lebanon County,Pennsylvania,120327
Lehigh County,Pennsylvania,312090
Luzerne County,Pennsylvania,319250
Lycoming County,Pennsylvania,120044
McKean County,Pennsylvania,45936
Mercer County,Pennsylvania,120293
Mifflin County,Pennsylvania,46486
Monroe County,Pennsylvania,138687
Montgomery County,Pennsylvania,750097
Montour County,Pennsylvania,18236
Northampton County,Pennsylvania,267066
Northumberland County,Pennsylvania,94556
Perry County,Pennsylvania,43602
Philadelphia County,Pennsylvania,1517550
Pike County,Pennsylvania,46302
Potter County,Pennsylvania,18080
Schuylkill County,Pennsylvania,150336
Snyder County,Pennsylvania,37546
Somerset County,Pennsylvania,80023
Sullivan County,Pennsylvania,6556
Susquehanna County,Pennsylvania,42238
Tioga County,Pennsylvania,41373
Union County,Pennsylvania,41624
Venango County,Pennsylvania,57565
Warren County,Pennsylvania,43863
Washington County,Pennsylvania,202897
Wayne County,Pennsylvania,47722
Westmoreland County,Pennsylvania,369993
Wyoming County,Pennsylvania,28080
York County,Pennsylvania,381751
Bristol County,Rhode Island,50648
Kent County,Rhode Island,167090
Newport County,Rhode Island,85433
Providence County,Rhode Island,621602
Washington County,Rhode Island,123546
Abbeville County,South Carolina,26167
Aiken County,South Carolina,142552
Allendale County,South Carolina,11211
Anderson County,South Carolina,165740
Bamberg County,South Carolina,16658
Barnwell County,South Carolina,23478
Beaufort County,South Carolina,120937
Berkeley County,South Carolina,142651
Calhoun County,South Carolina,15185
Charleston County,South Carolina,309969
Cherokee County,South Carolina,52537
Chester County,South Carolina,34068
Chesterfield County,South Carolina,42768
Clarendon County,South Carolina,32502
Colleton County,South Carolina,38264
Darlington County,South Carolina,67394
Dillon County,South Carolina,30722
Dorchester County,South Carolina,96413
Edgefield County,South Carolina,24595
Fairfield County,South Carolina,23454
Florence County,South Carolina,125761
Georgetown County,South Carolina,55797
Greenville County,South Carolina,379616
Greenwood County,South Carolina,66271
Hampton County,South Carolina,21386
Horry County,South Carolina,196629
Jasper County,South Carolina,20678
Kershaw County,South Carolina,52647
Lancaster County,South Carolina,61351
Laurens County,South Carolina,69567
Lee County,South Carolina,20119
Lexington County,South Carolina,216014
McCormick County,South Carolina,9958
Marion County,South Carolina,35466
Marlboro County,South Carolina,28818
Newberry County,South Carolina,36108
Oconee County,South Carolina,66215
Orangeburg County,South Carolina,91582
Pickens County,South Carolina,110757
Richland County,South Carolina,320677
Saluda County,South Carolina,19181
Spartanburg County,South Carolina,253791
Sumter County,South Carolina,104646
Union County,South Carolina,29881
Williamsburg County,South Carolina,37217
York County,South Carolina,164614
Aurora County,South Dakota,3058
Beadle County,South Dakota,17023
Bennett County,South Dakota,3574
Bon Homme County,South Dakota,7260
Brookings County,South Dakota,28220
Brown County,South Dakota,35460
Brule County,South Dakota,5364
Buffalo County,South Dakota,2032
Butte County,South Dakota,9094
Campbell County,South Dakota,1782
Charles Mix County,South Dakota,9350
Clark County,South Dakota,4143
Clay County,South Dakota,13537
Codington County,South Dakota,25897
Corson County,South Dakota,4181
Custer County,South Dakota,7275
Davison County,South Dakota,18741
Day County,South Dakota,6267
Deuel County,South Dakota,4498
Dewey County,South Dakota,5972
Douglas County,South Dakota,3458
Edmunds County,South Dakota,4367
Fall River County,South Dakota,7453
Faulk County,South Dakota,2640
Grant County,South Dakota,7847
Gregory County,South Dakota,4792
Haakon County,South Dakota,2196
Hamlin County,South Dakota,5540
Hand County,South Dakota,3741
Hanson County,South Dakota,3139
Harding County,South Dakota,1353
Hughes County,South Dakota,16481
Hutchinson County,South Dakota,8075
Hyde County,South Dakota,1671
Jackson County,South Dakota,2930
Jerauld County,South Dakota,2295
Jones County,South Dakota,1193
Kingsbury County,South Dakota,5815
Lake County,South Dakota,11276
Lawrence County,South Dakota,21802
Lincoln County,South Dakota,24131
Lyman County,South Dakota,3895
McCook County,South Dakota,5832
McPherson County,South Dakota,2904
Marshall County,South Dakota,4576
Meade County,South Dakota,24253
Mellette County,South Dakota,2083
Miner County,South Dakota,2884
Minnehaha County,South Dakota,148281
Moody County,South Dakota,6595
Pennington County,South Dakota,88565
Perkins County,South Dakota,3363
Potter County,South Dakota,2693
Roberts County,South Dakota,10016
Sanborn County,South Dakota,2675
Shannon County,South Dakota,12466
Spink County,South Dakota,7454
Stanley County,South Dakota,2772
Sully County,South Dakota,1556
Todd County,South Dakota,9050
Tripp County,South Dakota,6430
Turner County,South Dakota,8849
Union County,South Dakota,12584
Walworth County,South Dakota,5974
Yankton County,South Dakota,21652
Ziebach County,South Dakota,2519
Anderson County,Tennessee,71330
Bedford County,Tennessee,37586
Benton County,Tennessee,16537
Bledsoe County,Tennessee,12367
Blount County,Tennessee,105823
Bradley County,Tennessee,87965
Campbell County,Tennessee,39854
Cannon County,Tennessee,12826
Carroll County,Tennessee,29475
Carter County,Tennessee,56742
Cheatham County,Tennessee,35912
Chester County,Tennessee,15540
Claiborne County,Tennessee,29862
Clay County,Tennessee,7976
Cocke County,Tennessee,33565
Coffee County,Tennessee,48014
Crockett County,Tennessee,14532
Cumberland County,Tennessee,46802
Davidson County,Tennessee,569891
Decatur County,Tennessee,11731
DeKalb County,Tennessee,17423
Dickson County,Tennessee,43156
Dyer County,Tennessee,37279
Fayette County,Tennessee,28806
Fentress County,Tennessee,16625
Franklin County,Tennessee,39270
Gibson County,Tennessee,48152
Giles County,Tennessee,29447
Grainger County,Tennessee,20659
Greene County,Tennessee,62909
Grundy County,Tennessee,14332
Hamblen County,Tennessee,58128
Hamilton County,Tennessee,307896
Hancock County,Tennessee,6786
Hardeman County,Tennessee,28105
Hardin County,Tennessee,25578
Hawkins County,Tennessee,53563
Haywood County,Tennessee,19797
Henderson County,Tennessee,25522
Henry County,Tennessee,31115
Hickman County,Tennessee,22295
Houston County,Tennessee,8088
Humphreys County,Tennessee,17929
Jackson County,Tennessee,10984
Jefferson County,Tennessee,44294
Johnson County,Tennessee,17499
Knox County,Tennessee,382032
Lake County,Tennessee,7954
Lauderdale County,Tennessee,27101
Lawrence County,Tennessee,39926
Lewis County,Tennessee,11367
Lincoln County,Tennessee,31340
Loudon County,Tennessee,39086
McMinn County,Tennessee,49015
McNairy County,Tennessee,24653
Macon County,Tennessee,20386
Madison County,Tennessee,91837
Marion County,Tennessee,27776
Marshall County,Tennessee,26767
Maury County,Tennessee,69498
Meigs County,Tennessee,11086
Monroe County,Tennessee,38961
Montgomery County,Tennessee,134768
Moore County,Tennessee,5740
Morgan County,Tennessee,19757
Obion County,Tennessee,32450
Overton County,Tennessee,20118
Perry County,Tennessee,7631
Pickett County,Tennessee,4945
Polk County,Tennessee,16050
Putnam County,Tennessee,62315
Rhea County,Tennessee,28400
Roane County,Tennessee,51910
Robertson County,Tennessee,54433
Rutherford County,Tennessee,182023
Scott County,Tennessee,21127
Sequatchie County,Tennessee,11370
Sevier County,Tennessee,71170
Shelby County,Tennessee,897472
Smith County,Tennessee,17712
Stewart County,Tennessee,12370
Sullivan County,Tennessee,153048
Sumner County,Tennessee,130449
Tipton County,Tennessee,51271
Trousdale County,Tennessee,7259
Unicoi County,Tennessee,17667
Union County,Tennessee,17808
Van Buren County,Tennessee,5508
Warren County,Tennessee,38276
Washington County,Tennessee,107198
Wayne County,Tennessee,16842
Weakley County,Tennessee,34895
White County,Tennessee,23102
Williamson County,Tennessee,126638
Wilson County,Tennessee,88809
Anderson County,Texas,55109
Andrews County,Texas,13004
Angelina County,Texas,80130
Aransas County,Texas,22497
Archer County,Texas,8854
Armstrong County,Texas,2148
Atascosa County,Texas,38628
Austin County,Texas,23590
Bailey County,Texas,6594
Bandera County,Texas,17645
Bastrop County,Texas,57733
Baylor County,Texas,4093
Bee County,Texas,32359
Bell County,Texas,237974
Bexar County,Texas,1392931
Blanco County,Texas,8418
Borden County,Texas,729
Bosque County,Texas,17204
Bowie County,Texas,89306
Brazoria County,Texas,241767
Brazos County,Texas,152415
Brewster County,Texas,8866
Briscoe County,Texas,1790
Brooks County,Texas,7976
Brown County,Texas,37674
Burleson County,Texas,16470
Burnet County,Texas,34147
Caldwell County,Texas,32194
Calhoun County,Texas,20647
Callahan County,Texas,12905
Cameron County,Texas,335227
Camp County,Texas,11549
Carson County,Texas,6516
Cass County,Texas,30438
Castro County,Texas,8285
Chambers County,Texas,26031
Cherokee County,Texas,46659
Childress County,Texas,7688
Clay County,Texas,11006
Cochran County,Texas,3730
Coke County,Texas,3864
Coleman County,Texas,9235
Collin County,Texas,491675
Collingsworth County,Texas,3206
Colorado County,Texas,20390
Comal County,Texas,78021
Comanche County,Texas,14026
Concho County,Texas,3966
Cooke County,Texas,36363
Coryell County,Texas,74978
Cottle County,Texas,1904
Crane County,Texas,3996
Crockett County,Texas,4099
Crosby County,Texas,7072
Culberson County,Texas,2975
Dallam County,Texas,6222
Dallas County,Texas,2218899
Dawson County,Texas,14985
Deaf Smith County,Texas,18561
Delta County,Texas,5327
Denton County,Texas,432976
DeWitt County,Texas,20013
Dickens County,Texas,2762
Dimmit County,Texas,10248
Donley County,Texas,3828
Duval County,Texas,13120
Eastland County,Texas,18297
Ector County,Texas,121123
Edwards County,Texas,2162
Ellis County,Texas,111360
El Paso County,Texas,679622
Erath County,Texas,33001
Falls County,Texas,18576
Fannin County,Texas,31242
Fayette County,Texas,21804
Fisher County,Texas,4344
Floyd County,Texas,7771
Foard County,Texas,1622
Fort Bend County,Texas,354452
Franklin County,Texas,9458
Freestone County,Texas,17867
Frio County,Texas,16252
Gaines County,Texas,14467
Galveston County,Texas,250158
Garza County,Texas,4872
Gillespie County,Texas,20814
Glasscock County,Texas,1406
Goliad County,Texas,6928
Gonzales County,Texas,18628
Gray County,Texas,22744
Grayson County,Texas,110595
Gregg County,Texas,111379
Grimes County,Texas,23552
Guadalupe County,Texas,89023
Hale County,Texas,36602
Hall County,Texas,3782
Hamilton County,Texas,8229
Hansford County,Texas,5369
Hardeman County,Texas,4724
Hardin County,Texas,48073
Harris County,Texas,3400578
Harrison County,Texas,62110
Hartley County,Texas,5537
Haskell County,Texas,6093
Hays County,Texas,97589
Hemphill County,Texas,3351
Henderson County,Texas,73277
Hidalgo County,Texas,569463
Hill County,Texas,32321
Hockley County,Texas,22716
Hood County,Texas,41100
Hopkins County,Texas,31960
Houston County,Texas,23185
Howard County,Texas,33627
Hudspeth County,Texas,3344
Hunt County,Texas,76596
Hutchinson County,Texas,23857
Irion County,Texas,1771
Jack County,Texas,8763
Jackson County,Texas,14391
Jasper County,Texas,35604
Jeff Davis County,Texas,2207
Jefferson County,Texas,252051
Jim Hogg County,Texas,5281
Jim Wells County,Texas,39326
Johnson County,Texas,126811
Jones County,Texas,20785
Karnes County,Texas,15446
Kaufman County,Texas,71313
Kendall County,Texas,23743
Kenedy County,Texas,414
Kent County,Texas,859
Kerr County,Texas,43653
Kimble County,Texas,4468
King County,Texas,356
Kinney County,Texas,3379
Kleberg County,Texas,31549
Knox County,Texas,4253
Lamar County,Texas,48499
Lamb County,Texas,14709
Lampasas County,Texas,17762
La Salle County,Texas,5866
Lavaca County,Texas,19210
Lee County,Texas,15657
Leon County,Texas,15335
Liberty County,Texas,70154
Limestone County,Texas,22051
Lipscomb County,Texas,3057
Live Oak County,Texas,12309
Llano County,Texas,17044
Loving County,Texas,67
Lubbock County,Texas,242628
Lynn County,Texas,6550
Madison County,Texas,8205
Marion County,Texas,213517
Martin County,Texas,851
Mason County,Texas,12940
Matagorda County,Texas,10941
Maverick County,Texas,4746
McCulloch County,Texas,3738
McLennan County,Texas,37957
McMullen County,Texas,47297
Medina County,Texas,39304
Menard County,Texas,2360
Midland County,Texas,116009
Milam County,Texas,24238
Mills County,Texas,5151
Mitchell County,Texas,9698
Montague County,Texas,19117
Montgomery County,Texas,293768
Moore County,Texas,20121
Morris County,Texas,13048
Motley County,Texas,1426
Nacogdoches County,Texas,59203
Navarro County,Texas,45124
Newton County,Texas,15072
Nolan County,Texas,15802
Nueces County,Texas,313645
Ochiltree County,Texas,9006
Oldham County,Texas,2185
Orange County,Texas,84966
Palo Pinto County,Texas,27026
Panola County,Texas,22756
Parker County,Texas,88495
Parmer County,Texas,10016
Pecos County,Texas,16809
Polk County,Texas,41133
Potter County,Texas,113546
Presidio County,Texas,7304
Rains County,Texas,9139
Randall County,Texas,104312
Reagan County,Texas,3326
Real County,Texas,3047
Red River County,Texas,14314
Reeves County,Texas,13137
Refugio County,Texas,7828
Roberts County,Texas,887
Robertson County,Texas,16000
Rockwall County,Texas,43080
Runnels County,Texas,11495
Rusk County,Texas,47372
Sabine County,Texas,10469
San Augustine County,Texas,8946
San Jacinto County,Texas,22246
San Patricio County,Texas,67138
San Saba County,Texas,6186
Schleicher County,Texas,2935
Scurry County,Texas,16361
Shackelford County,Texas,3302
Shelby County,Texas,25224
Sherman County,Texas,3186
Smith County,Texas,174706
Somervell County,Texas,6809
Starr County,Texas,53597
Stephens County,Texas,9674
Sterling County,Texas,1393
Stonewall County,Texas,1693
Sutton County,Texas,4077
Swisher County,Texas,8378
Tarrant County,Texas,1446219
Taylor County,Texas,126555
Terrell County,Texas,1081
Terry County,Texas,12761
Throckmorton County,Texas,1850
Titus County,Texas,28118
Tom Green County,Texas,104010
Travis County,Texas,812280
Trinity County,Texas,13779
Tyler County,Texas,20871
Upshur County,Texas,35291
Upton County,Texas,3404
Uvalde County,Texas,25926
Val Verde County,Texas,44856
Van Zandt County,Texas,48140
Victoria County,Texas,84088
Walker County,Texas,61758
Waller County,Texas,32663
Ward County,Texas,10909
Washington County,Texas,30373
Webb County,Texas,193117
Wharton County,Texas,41188
Wheeler County,Texas,5284
Wichita County,Texas,131664
Wilbarger County,Texas,14676
Willacy County,Texas,20082
Williamson County,Texas,249967
Wilson County,Texas,32408
Winkler County,Texas,7173
Wise County,Texas,48793
Wood County,Texas,36752
Yoakum County,Texas,7322
Young County,Texas,17943
Zapata County,Texas,12182
Zavala County,Texas,11600
Beaver County,Utah,6005
Box Elder County,Utah,42745
Cache County,Utah,91391
Carbon County,Utah,20422
Daggett County,Utah,921
Davis County,Utah,238994
Duchesne County,Utah,14371
Emery County,Utah,10860
Garfield County,Utah,4735
Grand County,Utah,8485
Iron County,Utah,33779
Juab County,Utah,8238
Kane County,Utah,6046
Millard County,Utah,12405
Morgan County,Utah,7129
Piute County,Utah,1435
Rich County,Utah,1961
Salt Lake County,Utah,898387
San Juan County,Utah,14413
Sanpete County,Utah,22763
Sevier County,Utah,18842
Summit County,Utah,29736
Tooele County,Utah,40735
Uintah County,Utah,25224
Utah County,Utah,368536
Wasatch County,Utah,15215
Washington County,Utah,90354
Wayne County,Utah,2509
Weber County,Utah,196533
Addison County,Vermont,35974
Bennington County,Vermont,36994
Caledonia County,Vermont,29702
Chittenden County,Vermont,146571
Essex County,Vermont,6459
Franklin County,Vermont,45417
